UTD_EID,UCS_Locator,Filename,Caption,link,stage1_hit,stage1_keywords,stage2_ocr_status,stage2_ocr_text,stage2_keywords,stage2_hit
1-s2.0-S1350417721002601-gr7.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417721002601/gr7/DOWNSAMPLED/image/jpeg/73b030d4291698667f03c98942c5abb3/gr7.jpg,gr7.jpg,Schematic diagram (a) and photograph (b) of the prepared SbSeI nanogenerator. Schematic of the experimental measurement set up used for calibration (c) and determination of ultrasonic power (d).,https://ars.els-cdn.com/content/image/1-s2.0-S1350417721002601-gr7_lrg.jpg,0,,,,,
1-s2.0-S1350417721002601-gr6.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417721002601/gr6/DOWNSAMPLED/image/jpeg/7361856f49af2820624aae8f276c3426/gr6.jpg,gr6.jpg,SEM micrographs of (a) cross section and (b) interior of a sample prepared by high pressure compression of SbSeI nanowires.,https://ars.els-cdn.com/content/image/1-s2.0-S1350417721002601-gr6_lrg.jpg,0,,,,,
1-s2.0-S1350417721002601-gr5.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417721002601/gr5/DOWNSAMPLED/image/jpeg/99206e799bc3f266d8b89788bafc4d0e/gr5.jpg,gr5.jpg,"SEM image (a) of SbSeI sample interior merged with EDS elemental mapping and (b) of the area marked by the yellow rectangle in (a). Separate maps are provided showing elemental distributions of antimony (c), selenium (d), and iodine (e). (For interpretation of the references to colour in this figure legend, the reader is referred to the web version of this article.)",https://ars.els-cdn.com/content/image/1-s2.0-S1350417721002601-gr5_lrg.jpg,0,,,,,
1-s2.0-S1350417721002601-gr4.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417721002601/gr4/DOWNSAMPLED/image/jpeg/461e389fd7a9230607492fa85f683faa/gr4.jpg,gr4.jpg,"Selected open-circuit voltage responses of the SbSeI nanogenerator to ultrasound excitation for relative power (a) 20 % (b) 50 %, (c) 80 %, and (d) 100 %. The red curves represent the best fit dependence described by Eq. (1). Calibration measurements were carried out using VCX-750 (Sonics & Materials, Inc.) ultrasonic processor with ultrasound frequency f = 20 kHz and maximum power Pa = 750 W delivered to the sonotrode. (For interpretation of the references to colour in this figure legend, the reader is referred to the web version of this article.)",https://ars.els-cdn.com/content/image/1-s2.0-S1350417721002601-gr4_lrg.jpg,1,frequency,0.0,,,0.0
1-s2.0-S1350417721002601-gr9.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417721002601/gr9/DOWNSAMPLED/image/jpeg/6acec48a11318a0af57fe61f0d6a3e30/gr9.jpg,gr9.jpg,"Influence of acoustic power on the selected SbSeI nanogenerator parameters: (a, b) amplitudes of open-circuit voltages and (c, d) frequencies. The horizontal solid curves in (c) and (d) represent the average values of f1 and f2, respectively. The horizontal dashed lines show the uncertainties of the calculated average values. The experiments were performed with a VCX-750 (Sonics & Materials, Inc.) ultrasonic processor.",https://ars.els-cdn.com/content/image/1-s2.0-S1350417721002601-gr9_lrg.jpg,1,acoustic,0.0," 

== before test ==—— after test

 

 

 

 

00 O05 10 #15 20 25 30 0 25 50 75 100 125 150
t, s t, ps
",,0.0
1-s2.0-S1350417721002601-gr10.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417721002601/gr10/DOWNSAMPLED/image/jpeg/6d799dc6240632b985e334026e18502c/gr10.jpg,gr10.jpg,"(a) Calibration curve for an electrical response of the SbSeI nanogenerator and (b) open-circuit voltage response of the SbSeI nanogenerator to ultrasound excitation emitted by a Sonic-6 reactor (Polsonic). Black points represent the experimental values. Solid red curves in (a) and (b) show the best fitted dependences described by Equations (6) and (1), respectively. (For interpretation of the references to colour in this figure legend, the reader is referred to the web version of this article.)",https://ars.els-cdn.com/content/image/1-s2.0-S1350417721002601-gr10_lrg.jpg,0,,,,,
1-s2.0-S1350417721002601-gr8.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417721002601/gr8/DOWNSAMPLED/image/jpeg/88f62a424e322ff69f745499f2447783/gr8.jpg,gr8.jpg,"FFT spectra of select open-circuit voltage responses to ultrasound excitation with relative powers of (a) 20 % (b) 50 %, (c) 80 %, and (d) 100 %. The calibration procedure was completed by applying a VCX-750 (Sonics & Materials, Inc.) ultrasonic processor with ultrasound frequency f = 20 kHz and maximum power Pa = 750 W to the sonotrode.",https://ars.els-cdn.com/content/image/1-s2.0-S1350417721002601-gr8_lrg.jpg,1,frequency,0.0," 

 

 

 

 

 

 

 

 

0 100 200 300 400 500 600 700 800 0 40 80 120 160 200 240 280 320 360 400
P W f, kHz
",,0.0
1-s2.0-S1350417721002601-gr3.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417721002601/gr3/DOWNSAMPLED/image/jpeg/4fbd390338bf2f392acfa881895176b4/gr3.jpg,gr3.jpg,"(a) Calibration curve derived from FFT analysis of an electrical response of the SbSeI nanogenerator and (b) FFT spectrum of the open-circuit voltage response to ultrasound excitation emitted by the Sonic-6 reactor (Polsonic). Black points in (a) represent experimental values of the squared total RMS voltage as a function of acoustic power. Solid red curve shows the best fit dependence (6). (For interpretation of the references to colour in this figure legend, the reader is referred to the web version of this article.)",https://ars.els-cdn.com/content/image/1-s2.0-S1350417721002601-gr3_lrg.jpg,1,"acoustic, spectrum",0.0," 
",,0.0
1-s2.0-S1350417721002601-gr2.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417721002601/gr2/DOWNSAMPLED/image/jpeg/639ec1d3a92dc411010b6b0c953e2b6f/gr2.jpg,gr2.jpg,"The open-circuit voltage response of the SbSeI nanogenerator for (a) 3 s and (b) 150 µs before (red curve) and after (blue curve) the device stability test. The experiment was performed using a VCX-750 (Sonics & Materials, Inc.) ultrasonic processor (f = 20 kHz; Pa = 600 W). (For interpretation of the references to colour in this figure legend, the reader is referred to the web version of this article.)",https://ars.els-cdn.com/content/image/1-s2.0-S1350417721002601-gr2_lrg.jpg,0,,,,,
1-s2.0-S1350417721002601-ga1.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417721002601/ga1/DOWNSAMPLED/image/jpeg/3f163af9b06b70c63e736e08347f3a84/ga1.jpg,ga1.jpg,Photograph of the measurement setup used for device tests under finger tapping (a) and nanogenerator response to pressing the sample with two different frequencies f = 2.03(1) Hz (b) and f = 5.56(3) Hz (c).,https://ars.els-cdn.com/content/image/1-s2.0-S1350417721002601-ga1_lrg.jpg,1,hz,2.0," 

compression
of NWs .

nanogenerator
fabrication

 

 

 

180 50-360” 450” 550 650750600
PW

  
  

 

sonochemical measurements
preparation of acoustic power
of SbSeI NWs in reactor

 
",acoustic,1.0
