UTD_EID,UCS_Locator,Filename,Caption,link,stage1_hit,stage1_keywords
1-s2.0-S1350417723001190-gr2.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417723001190/gr2/DOWNSAMPLED/image/jpeg/8974c21a030cecd946ce118fda423048/gr2.jpg,gr2.jpg,Quantitative screening of studies for the review.,https://ars.els-cdn.com/content/image/1-s2.0-S1350417723001190-gr2_lrg.jpg,0,
1-s2.0-S1350417723001190-gr3.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417723001190/gr3/DOWNSAMPLED/image/jpeg/eb8e7ba0a972d820dd249fbb9369af22/gr3.jpg,gr3.jpg,Schematic diagram of enzyme inactivation mechanism of ultrasound.,https://ars.els-cdn.com/content/image/1-s2.0-S1350417723001190-gr3_lrg.jpg,0,
1-s2.0-S1350417723001190-gr1.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417723001190/gr1/DOWNSAMPLED/image/jpeg/0c158e60ab91f6cd98187483bd636e75/gr1.jpg,gr1.jpg,Major detrimental effects caused by endogenous enzymes released from fruits and vegetables.,https://ars.els-cdn.com/content/image/1-s2.0-S1350417723001190-gr1_lrg.jpg,0,
1-s2.0-S1350417723001190-gr2.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417723001190/gr2/THUMBNAIL/image/gif/198368b24a7db1fea4cd6fb9da423180/gr2.sml,gr2.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417723001190-gr2.sml,0,
1-s2.0-S1350417723001190-gr3.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417723001190/gr3/THUMBNAIL/image/gif/a111c201375e986ba608b1683316a2da/gr3.sml,gr3.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417723001190-gr3.sml,0,
1-s2.0-S1350417723001190-gr1.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417723001190/gr1/THUMBNAIL/image/gif/ba6879161cf163230413028e5c76e387/gr1.sml,gr1.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417723001190-gr1.sml,0,
1-s2.0-S1350417723001190-gr2_lrg.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417723001190/HIGHRES/image/jpeg/7f1196265d4290b48da4be39fa081b6c/gr2_lrg.jpg,gr2_lrg.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417723001190-gr2_lrg_lrg.jpg,0,
1-s2.0-S1350417723001190-gr3_lrg.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417723001190/HIGHRES/image/jpeg/00dd3aa2c5674b632c528ebd8ead122b/gr3_lrg.jpg,gr3_lrg.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417723001190-gr3_lrg_lrg.jpg,0,
1-s2.0-S1350417723001190-gr1_lrg.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417723001190/HIGHRES/image/jpeg/2671f0e8396358343b46e963441474cf/gr1_lrg.jpg,gr1_lrg.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417723001190-gr1_lrg_lrg.jpg,0,
1-s2.0-S1350417723001190-si1.svg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417723001190/image/svg+xml/bee1b40b3cdc45c1b49e99eaeca6f3e1/si1.svg,si1.svg,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417723001190-si1.svg,0,
1-s2.0-S1350417723001190-si10.svg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417723001190/image/svg+xml/e7ba309a9e8681b6581b2dc4c78566f6/si10.svg,si10.svg,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417723001190-si10.svg,0,
1-s2.0-S1350417723001190-si11.svg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417723001190/image/svg+xml/11614cfd0adb1c1242177b3706b682ca/si11.svg,si11.svg,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417723001190-si11.svg,0,
1-s2.0-S1350417723001190-si12.svg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417723001190/image/svg+xml/a64539e4b02477060dca28aeb0be2f77/si12.svg,si12.svg,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417723001190-si12.svg,0,
1-s2.0-S1350417723001190-si13.svg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417723001190/image/svg+xml/fd1e088d020570bed1753d304b0d2def/si13.svg,si13.svg,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417723001190-si13.svg,0,
1-s2.0-S1350417723001190-si14.svg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417723001190/image/svg+xml/39ec67e18ade09eac57e3debae83cb2f/si14.svg,si14.svg,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417723001190-si14.svg,0,
1-s2.0-S1350417723001190-si15.svg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417723001190/image/svg+xml/0531801dda69a14363555d2c0c34e21d/si15.svg,si15.svg,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417723001190-si15.svg,0,
1-s2.0-S1350417723001190-si2.svg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417723001190/image/svg+xml/b710966f675fe6d381e28aec9158cade/si2.svg,si2.svg,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417723001190-si2.svg,0,
1-s2.0-S1350417723001190-si3.svg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417723001190/image/svg+xml/dfa08bc9ceb48fdfe2369e6508c41a4e/si3.svg,si3.svg,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417723001190-si3.svg,0,
1-s2.0-S1350417723001190-si4.svg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417723001190/image/svg+xml/0a3dc4714794f1b3dab3dd9746afe042/si4.svg,si4.svg,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417723001190-si4.svg,0,
1-s2.0-S1350417723001190-si5.svg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417723001190/image/svg+xml/087540aa81103d10a4c55dd74a49690a/si5.svg,si5.svg,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417723001190-si5.svg,0,
1-s2.0-S1350417723001190-si6.svg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417723001190/image/svg+xml/be001d7604279e8d3d02f129b19a3268/si6.svg,si6.svg,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417723001190-si6.svg,0,
1-s2.0-S1350417723001190-si7.svg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417723001190/image/svg+xml/a035358496fdb79b2b9712af635ebd5a/si7.svg,si7.svg,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417723001190-si7.svg,0,
1-s2.0-S1350417723001190-si8.svg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417723001190/image/svg+xml/108516d1592ee17429aaae38b10b765b/si8.svg,si8.svg,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417723001190-si8.svg,0,
1-s2.0-S1350417723001190-si9.svg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S1350417723001190/image/svg+xml/a5eaeb7b44c04d389ea1c6ca73697f3a/si9.svg,si9.svg,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417723001190-si9.svg,0,
1-s2.0-S1350417723001190-am.pdf,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/egi:108W70Q4C3K/MAIN/application/pdf/496665a8f4533d43b0913757cba58324/am.pdf,am.pdf,,https://ars.els-cdn.com/content/image/1-s2.0-S1350417723001190-am.pdf,0,
