Authors,Author full names,Author(s) ID,Title,Year,Cited by,DOI,Link,stage1_status,stage1_matched_kws,stage2_status,stage2_matched_kws,final_status
Versluis M.; Stride E.; Lajoinie G.; Dollet B.; Segers T.,"Versluis, Michel (6602884472); Stride, Eleanor (8782679600); Lajoinie, Guillaume (55826402700); Dollet, Benjamin (24597748500); Segers, Tim (49864375900)",6602884472; 8782679600; 55826402700; 24597748500; 49864375900,Ultrasound Contrast Agent Modeling: A Review,2020,207,10.1016/j.ultrasmedbio.2020.04.014,https://www.scopus.com/pages/publications/85086513343?origin=resultslist,passed_stage1,"amplitude, hz, wave, attenuation, acoustic, frequency",passed_stage2,amplitude,relevant
Bu X.; Alheshibri M.,"Bu, Xiangning (56660320000); Alheshibri, Muidh (55681240300)",56660320000; 55681240300,The effect of ultrasound on bulk and surface nanobubbles: A review of the current status,2021,108,10.1016/j.ultsonch.2021.105629,https://www.scopus.com/pages/publications/85108114238?origin=resultslist,passed_stage1,"acoustic, frequency",passed_stage2,"acoustic, hz, frequency",relevant
Morton J.A.; Khavari M.; Qin L.; Maciejewska B.M.; Tyurnina A.V.; Grobert N.; Eskin D.G.; Mi J.; Porfyrakis K.; Prentice P.; Tzanakis I.,"Morton, Justin A. (57218393476); Khavari, Mohammad (36930478000); Qin, Ling (57219626297); Maciejewska, Barbara M. (55991083000); Tyurnina, Anastasia V. (14822419500); Grobert, Nicole (7004112956); Eskin, Dmitry G. (7006766568); Mi, Jiawei (8601267100); Porfyrakis, Kyriakos (57300113300); Prentice, Paul (6701436774); Tzanakis, Iakovos (35238947900)",57218393476; 36930478000; 57219626297; 55991083000; 14822419500; 7004112956; 7006766568; 8601267100; 57300113300; 6701436774; 35238947900,New insights into sono-exfoliation mechanisms of graphite: In situ high-speed imaging studies and acoustic measurements,2021,69,10.1016/j.mattod.2021.05.005,https://www.scopus.com/pages/publications/85108542892?origin=resultslist,passed_stage1,"acoustic, wave",passed_stage2,wave,relevant
Xu J.; Wang D.; Lei Y.; Cheng L.; Zhuang W.; Tian Y.,"Xu, Jingxin (59887630300); Wang, Danni (57221688015); Lei, Yanping (57221689575); Cheng, Lujie (57469097700); Zhuang, Weijing (55906917900); Tian, Yuting (36159873800)",59887630300; 57221688015; 57221689575; 57469097700; 55906917900; 36159873800,Effects of combined ultrasonic and microwave vacuum drying on drying characteristics and physicochemical properties of Tremella fuciformis,2022,73,10.1016/j.ultsonch.2022.105963,https://www.scopus.com/pages/publications/85125386479?origin=resultslist,passed_stage1,acoustic,passed_stage2,"wave, frequency",relevant
Kozmus G.; Zevnik J.; Hočevar M.; Dular M.; Petkovšek M.,"Kozmus, Gregor (57216755493); Zevnik, Jure (57213437272); Hočevar, Marko (7003576210); Dular, Matevž (6602097972); Petkovšek, Martin (55558954000)",57216755493; 57213437272; 7003576210; 6602097972; 55558954000,Characterization of cavitation under ultrasonic horn tip – Proposition of an acoustic cavitation parameter,2022,58,10.1016/j.ultsonch.2022.106159,https://www.scopus.com/pages/publications/85137644892?origin=resultslist,passed_stage1,"acoustic, wavelength, amplitude, frequency",passed_stage2,"hz, frequency",relevant
Alston J.; Croxford A.; Potter J.; Blanloeuil P.,"Alston, Jonathan (57194720080); Croxford, Anthony (8957890800); Potter, Jack (35330917800); Blanloeuil, Philippe (55939907100)",57194720080; 8957890800; 35330917800; 55939907100,Nonlinear non-collinear ultrasonic detection and characterisation of kissing bonds,2018,52,10.1016/j.ndteint.2018.07.003,https://www.scopus.com/pages/publications/85050106157?origin=resultslist,passed_stage1,"wave, amplitude, frequency",passed_stage2,"wave, amplitude, frequency",relevant
Asakura Y.; Yasuda K.,"Asakura, Yoshiyuki (7103285701); Yasuda, Keiji (7403377802)",7103285701; 7403377802,Frequency and power dependence of ultrasonic degassing,2022,50,10.1016/j.ultsonch.2021.105890,https://www.scopus.com/pages/publications/85121584013?origin=resultslist,passed_stage1,frequency,passed_stage2,frequency,relevant
Dehghani M.H.; Karri R.R.; Koduru J.R.; Manickam S.; Tyagi I.; Mubarak N.M.; Suhas,"Dehghani, Mohammad Hadi (57192214256); Karri, Rama Rao (38061883200); Koduru, Janardhan Reddy (57211606435); Manickam, Sivakumar (45661701600); Tyagi, Inderjeet (55955630400); Mubarak, Nabisab Mujawar (36634677600); Suhas (7409596327)",57192214256; 38061883200; 57211606435; 45661701600; 55955630400; 36634677600; 7409596327,Recent trends in the applications of sonochemical reactors as an advanced oxidation process for the remediation of microbial hazards associated with water and wastewater: A critical review,2023,64,10.1016/j.ultsonch.2023.106302,https://www.scopus.com/pages/publications/85147193528?origin=resultslist,passed_stage1,frequency,passed_stage2,hz,relevant
Hu Y.; Wei J.; Shen Y.; Chen S.; Chen X.,"Hu, Yaxin (56163128100); Wei, Jianpeng (57460140600); Shen, Yuanyuan (57198550853); Chen, Siping (13606526600); Chen, Xin (56816037600)",56163128100; 57460140600; 57198550853; 13606526600; 56816037600,Barrier-breaking effects of ultrasonic cavitation for drug delivery and biomarker release,2023,52,10.1016/j.ultsonch.2023.106346,https://www.scopus.com/pages/publications/85149333955?origin=resultslist,passed_stage1,acoustic,passed_stage2,acoustic,relevant
Kiziroglou M.E.; Boyle D.E.; Wright S.W.; Yeatman E.M.,"Kiziroglou, M.E. (9734966200); Boyle, D.E. (16549149200); Wright, S.W. (57212430166); Yeatman, E.M. (7004040410)",9734966200; 16549149200; 57212430166; 7004040410,Acoustic power delivery to pipeline monitoring wireless sensors,2017,45,10.1016/j.ultras.2017.01.017,https://www.scopus.com/pages/publications/85011716044?origin=resultslist,passed_stage1,"attenuation, acoustic, amplitude, frequency",passed_stage2,amplitude,relevant
