"Authors","Author full names","Author(s) ID","Title","Year","Cited by","DOI","Link"
"Miller D.L.","Miller, Douglas L. (55547139458)","55547139458","A review of the ultrasonic bioeffects of microsonation, gas-body activation, and related cavitation-like phenomena","1987","151","10.1016/0301-5629(87)90110-4","https://www.scopus.com/pages/publications/0023392781?origin=resultslist"
"Strohm E.; Rui M.; Gorelikov I.; Matsuura N.; Kolios M.","Strohm, Eric (35194741900); Rui, Min (36025881800); Gorelikov, Ivan (6506784274); Matsuura, Naomi (7202096487); Kolios, Michael (7004146000)","35194741900; 36025881800; 6506784274; 7202096487; 7004146000","Vaporization of perfluorocarbon droplets using optical irradiation","2011","128","10.1364/BOE.2.001432","https://www.scopus.com/pages/publications/80053006122?origin=resultslist"
"Marzo A.; Seah S.A.; Drinkwater B.W.; Sahoo D.R.; Long B.; Subramanian S.","Marzo, Asier (37006934700); Seah, Sue Ann (23669363200); Drinkwater, Bruce W. (7006891244); Sahoo, Deepak Ranjan (57204438010); Long, Benjamin (55929399100); Subramanian, Sriram (35389893300)","37006934700; 23669363200; 7006891244; 57204438010; 55929399100; 35389893300","Holographic acoustic elements for manipulation of levitated objects","2015","843","10.1038/ncomms9661","https://www.scopus.com/pages/publications/84945939730?origin=resultslist"
"Church C.C.","Church, Charles C. (57201524389)","57201524389","Spontaneous homogeneous nucleation, inertial cavitation and the safety of diagnostic ultrasound","2002","116","10.1016/S0301-5629(02)00579-3","https://www.scopus.com/pages/publications/0036815531?origin=resultslist"
"Palmeri M.L.; Sharma A.C.; Bouchard R.R.; Nightingale R.W.; Nightingale K.R.","Palmeri, Mark L. (6603885787); Sharma, Amy C. (9734746900); Bouchard, Richard R. (9737284900); Nightingale, Roger W. (7006433143); Nightingale, Kathryn R. (35564903400)","6603885787; 9734746900; 9737284900; 7006433143; 35564903400","A finite-element method model of soft tissue response to impulsive acoustic radiation force","2005","312","10.1109/TUFFC.2005.1561624","https://www.scopus.com/pages/publications/28444481744?origin=resultslist"
"Dixon S.; Burrows S.E.; Dutton B.; Fan Y.","Dixon, S. (56597522600); Burrows, S.E. (24823862700); Dutton, B. (14521037400); Fan, Y. (14824933100)","56597522600; 24823862700; 14521037400; 14824933100","Detection of cracks in metal sheets using pulsed laser generated ultrasound and EMAT detection","2011","125","10.1016/j.ultras.2010.05.002","https://www.scopus.com/pages/publications/77957963492?origin=resultslist"
"Coleman A.J.; Saunders J.E.; Crum L.A.; Dyson M.","Coleman, Andrew J. (24760180800); Saunders, John E. (24761323200); Crum, Lawrence A. (35463727600); Dyson, Mary (7004282401)","24760180800; 24761323200; 35463727600; 7004282401","Acoustic cavitation generated by an extracorporeal shockwave lithotripter","1987","370","10.1016/0301-5629(87)90076-7","https://www.scopus.com/pages/publications/0023115442?origin=resultslist"
"González-Centeno M.R.; Comas-Serra F.; Femenia A.; Rosselló C.; Simal S.","González-Centeno, M.R. (36158219400); Comas-Serra, F. (56215733200); Femenia, A. (56698160500); Rosselló, C. (7004594958); Simal, S. (55956964400)","36158219400; 56215733200; 56698160500; 7004594958; 55956964400","Effect of power ultrasound application on aqueous extraction of phenolic compounds and antioxidant capacity from grape pomace (Vitis vinifera L.): Experimental kinetics and modeling","2015","204","10.1016/j.ultsonch.2014.05.027","https://www.scopus.com/pages/publications/84906783410?origin=resultslist"
"Foster F.S.; Harasiewicz K.A.; Sherar M.D.","Foster, F. Stuart (7103062221); Harasiewicz, Kasia A. (6701865574); Sherar, Michael D. (7004850171)","7103062221; 6701865574; 7004850171","A history of medical biological imaging with polyvinylidene fluoride (PVDF) transducers","2000","231","10.1109/58.883525","https://www.scopus.com/pages/publications/0034314987?origin=resultslist"
"Leong T.; Ashokkumar M.; Sandra K.","Leong, Thomas (35237540400); Ashokkumar, Muthupandian (7003407958); Sandra, Kentish (50361827800)","35237540400; 7003407958; 50361827800","The fundamentals of power ultrasound - A review","2011","287","","https://www.scopus.com/pages/publications/80052798815?origin=resultslist"
