UTD_EID,UCS_Locator,Filename,Caption,link,stage1_hit,stage1_keywords
1-s2.0-S0169433218323158-ga1.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0169433218323158/ga1/DOWNSAMPLED/image/jpeg/b88ab8d46b13bdc09b729a86d57af181/ga1.jpg,ga1.jpg,"Chemical composition of the CaP layer formed on magnesium during immersion in DMEM for 1, 3, and 5 days by means of XPS; (a) at room temperature; (b) in the incubator at 37 °C (5% CO2 and 95% humidity); (c) in DMEM + 20% FCS in the incubator; (d) calculated Ca2p/P2p ratios. Reprinted from [83] with permission of Elsevier.",https://ars.els-cdn.com/content/image/1-s2.0-S0169433218323158-ga1_lrg.jpg,0,
1-s2.0-S0169433218323158-gr1.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0169433218323158/gr1/DOWNSAMPLED/image/jpeg/85d0db4942fa555d0ea689df9729585d/gr1.jpg,gr1.jpg,"Optical images of the Mg-Nd-Zn-Zr surface after 7 days of immersion in (A) M199, (B) M199 + FBS and (C) after HUVEC coculture. The corresponding corrosion rate measurements and the XPS survey spectra are shown in (D) and (E). Reprinted from [85] with permission of Elsevier.",https://ars.els-cdn.com/content/image/1-s2.0-S0169433218323158-gr1_lrg.jpg,0,
1-s2.0-S0169433218323158-gr2.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0169433218323158/gr2/DOWNSAMPLED/image/jpeg/cb95058ea52bf66fe9b59413cbf7393e/gr2.jpg,gr2.jpg,Schematic representation of degradation process of M1A magnesium alloy (a) in SBF (b–d) compared to SBF + albumin (e–g). Reprinted from [59] with permission of Elsevier.,https://ars.els-cdn.com/content/image/1-s2.0-S0169433218323158-gr2_lrg.jpg,0,
1-s2.0-S0169433218323158-gr3.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0169433218323158/gr3/DOWNSAMPLED/image/jpeg/742d9f4323ff70d3b347730a4d12b49e/gr3.jpg,gr3.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S0169433218323158-gr3_lrg.jpg,0,
1-s2.0-S0169433218323158-ga1.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0169433218323158/ga1/THUMBNAIL/image/gif/05e320eb3b52c072c1e361bd5887469e/ga1.sml,ga1.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S0169433218323158-ga1.sml,0,
1-s2.0-S0169433218323158-gr1.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0169433218323158/gr1/THUMBNAIL/image/gif/97f120bd150d55463cfd0335f4293f30/gr1.sml,gr1.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S0169433218323158-gr1.sml,0,
1-s2.0-S0169433218323158-gr2.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0169433218323158/gr2/THUMBNAIL/image/gif/db217b6d757df9d04bc9a521b8bd0c4b/gr2.sml,gr2.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S0169433218323158-gr2.sml,0,
1-s2.0-S0169433218323158-gr3.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0169433218323158/gr3/THUMBNAIL/image/gif/3eeeb732fb9535baeece91ce5c9d7b54/gr3.sml,gr3.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S0169433218323158-gr3.sml,0,
1-s2.0-S0169433218323158-ga1_lrg.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0169433218323158/ga1/HIGHRES/image/jpeg/470d8db845e4fb6682ed6eb889f7d825/ga1_lrg.jpg,ga1_lrg.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S0169433218323158-ga1_lrg_lrg.jpg,0,
1-s2.0-S0169433218323158-gr1_lrg.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0169433218323158/gr1/HIGHRES/image/jpeg/3d8db11186e912798feaebe7d804a4bf/gr1_lrg.jpg,gr1_lrg.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S0169433218323158-gr1_lrg_lrg.jpg,0,
1-s2.0-S0169433218323158-gr2_lrg.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0169433218323158/gr2/HIGHRES/image/jpeg/b0633d995acf568a090a5a8319492f01/gr2_lrg.jpg,gr2_lrg.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S0169433218323158-gr2_lrg_lrg.jpg,0,
1-s2.0-S0169433218323158-gr3_lrg.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0169433218323158/gr3/HIGHRES/image/jpeg/05ea586bd214602ccb39068b66537040/gr3_lrg.jpg,gr3_lrg.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S0169433218323158-gr3_lrg_lrg.jpg,0,
1-s2.0-S0169433218323158-am.pdf,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/egi:10N6Q8X6MB0/MAIN/application/pdf/626408ab2dbb7a09a377960c163222ae/am.pdf,am.pdf,,https://ars.els-cdn.com/content/image/1-s2.0-S0169433218323158-am.pdf,0,
