UTD_EID,UCS_Locator,Filename,Caption,link,stage1_hit,stage1_keywords,stage2_ocr_status,stage2_ocr_text,stage2_keywords,stage2_hit
1-s2.0-S2211379718326032-ga1.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2211379718326032/ga1/DOWNSAMPLED/image/jpeg/ab65ec45aeb4d1f628c9a6060d02f48e/ga1.jpg,ga1.jpg,Surface morphologies and corresponding EDS spectra of coatings (a) MAO; (b) PA; (c) PL-0.01 g/mL; (d) PL-0.02 g/mL; and (e) PL-0.03 g/mL.,https://ars.els-cdn.com/content/image/1-s2.0-S2211379718326032-ga1_lrg.jpg,0,,,,,
1-s2.0-S2211379718326032-gr1.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2211379718326032/gr1/DOWNSAMPLED/image/jpeg/1ec403cfc3fa058cfc35b21f4a2b661d/gr1.jpg,gr1.jpg,Cross-sections and corresponding elemental distribution maps of coatings (a) MAO; (b) PA; and (c) PL-0.02 g/mL.,https://ars.els-cdn.com/content/image/1-s2.0-S2211379718326032-gr1_lrg.jpg,0,,,,,
1-s2.0-S2211379718326032-gr2.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2211379718326032/gr2/DOWNSAMPLED/image/jpeg/3da8920b88902e9332dd9890d02ab5fa/gr2.jpg,gr2.jpg,"(a) XPS survey spectrum of different coatings; (b, c, d) XPS detailed Mg 1s, O 1s and Si 2p regions of the MAO coating; (e, f, g) XPS detailed C 1s, O 1s and P 2p regions of the PA coating; and (h, i) XPS detailed C 1s and O 1s regions of the PL-0.02 g/mL coating.",https://ars.els-cdn.com/content/image/1-s2.0-S2211379718326032-gr2_lrg.jpg,0,,,,,
1-s2.0-S2211379718326032-gr3.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2211379718326032/gr3/DOWNSAMPLED/image/jpeg/8c56b8c867b52a36f8c554011a184c5d/gr3.jpg,gr3.jpg,FTIR spectra of coatings (a) MAO; (b) PA; and (c) PL-0.02 g/mL.,https://ars.els-cdn.com/content/image/1-s2.0-S2211379718326032-gr3_lrg.jpg,0,,,,,
1-s2.0-S2211379718326032-gr4.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2211379718326032/gr4/DOWNSAMPLED/image/jpeg/f03260d93361a98bd4c56d554c016908/gr4.jpg,gr4.jpg,"Potentiodynamic polarization curves of the MAO, PA, and PL coatings.",https://ars.els-cdn.com/content/image/1-s2.0-S2211379718326032-gr4_lrg.jpg,0,,,,,
1-s2.0-S2211379718326032-gr5.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2211379718326032/gr5/DOWNSAMPLED/image/jpeg/6251a9d6047a8c2e59dd45c9554dee6a/gr5.jpg,gr5.jpg,"Nyquist and Bode diagrams and equivalent circuits of different coatings (a) Nyquist plots; (b, c) Bode plots; and (d) equivalent circuits.",https://ars.els-cdn.com/content/image/1-s2.0-S2211379718326032-gr5_lrg.jpg,1,nyquist,2.0,"Current (A)

m
o&

— Mao
—PA

™
©

— PL-0.01g/mL
—— PL-0.02g/mL
— PL-0.03g/mL

 

-2.0 -1.8 -1.6 1.4
Potential (V)
",current,1.0
1-s2.0-S2211379718326032-gr6.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2211379718326032/gr6/DOWNSAMPLED/image/jpeg/cb008b38e3c057c0be04b39bf8001f70/gr6.jpg,gr6.jpg,"SEM micrographs after immersion in SBF of (a, d, g) MAO coatings; (b, e, h) PA coatings; and (c, f, i) PL-0.02 g/mL coatings.",https://ars.els-cdn.com/content/image/1-s2.0-S2211379718326032-gr6_lrg.jpg,0,,,,,
1-s2.0-S2211379718326032-gr7.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2211379718326032/gr7/DOWNSAMPLED/image/jpeg/43b426eb473e0da0e7221bf721f6937b/gr7.jpg,gr7.jpg,"Rates of weight loss of MAO, PA, and PL-0.02 g/mL coatings.",https://ars.els-cdn.com/content/image/1-s2.0-S2211379718326032-gr7_lrg.jpg,0,,,,,
1-s2.0-S2211379718326032-gr8.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2211379718326032/gr8/DOWNSAMPLED/image/jpeg/6598c9149c3e36e41a44a28a241744b6/gr8.jpg,gr8.jpg,"XRD patterns of MAO, PA, and PL-0.02 g/mL coatings after immersion in SBF for 7 days.",https://ars.els-cdn.com/content/image/1-s2.0-S2211379718326032-gr8_lrg.jpg,0,,,,,
1-s2.0-S2211379718326032-gr9.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2211379718326032/gr9/DOWNSAMPLED/image/jpeg/b803ccd2a779557282867f6f35f065f0/gr9.jpg,gr9.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S2211379718326032-gr9_lrg.jpg,0,,,,,
1-s2.0-S2211379718326032-ga1.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2211379718326032/ga1/THUMBNAIL/image/gif/14c1d05bbfce782b43b43415c23e1a0f/ga1.sml,ga1.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S2211379718326032-ga1.sml,0,,,,,
1-s2.0-S2211379718326032-gr1.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2211379718326032/gr1/THUMBNAIL/image/gif/88742f0a17979672abae314daf46783f/gr1.sml,gr1.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S2211379718326032-gr1.sml,0,,,,,
1-s2.0-S2211379718326032-gr2.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2211379718326032/gr2/THUMBNAIL/image/gif/54e3cc71695da6d338aee27b726726c8/gr2.sml,gr2.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S2211379718326032-gr2.sml,0,,,,,
1-s2.0-S2211379718326032-gr3.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2211379718326032/gr3/THUMBNAIL/image/gif/68a817766cb1867d7381f459fa0bb25c/gr3.sml,gr3.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S2211379718326032-gr3.sml,0,,,,,
1-s2.0-S2211379718326032-gr4.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2211379718326032/gr4/THUMBNAIL/image/gif/92377279208339ed1200ffcf13c91838/gr4.sml,gr4.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S2211379718326032-gr4.sml,0,,,,,
1-s2.0-S2211379718326032-gr5.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2211379718326032/gr5/THUMBNAIL/image/gif/c5b66c851a1b2453be35acb26cb4f999/gr5.sml,gr5.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S2211379718326032-gr5.sml,0,,,,,
1-s2.0-S2211379718326032-gr6.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2211379718326032/gr6/THUMBNAIL/image/gif/ecb54e4d9c6cbf0afdb873bb46e67b81/gr6.sml,gr6.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S2211379718326032-gr6.sml,0,,,,,
1-s2.0-S2211379718326032-gr7.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2211379718326032/gr7/THUMBNAIL/image/gif/f7a17f203b7cec85184fa0d37f13bf6a/gr7.sml,gr7.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S2211379718326032-gr7.sml,0,,,,,
1-s2.0-S2211379718326032-gr8.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2211379718326032/gr8/THUMBNAIL/image/gif/493168e2487d8f3408ca5f62393baa66/gr8.sml,gr8.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S2211379718326032-gr8.sml,0,,,,,
1-s2.0-S2211379718326032-gr9.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2211379718326032/gr9/THUMBNAIL/image/gif/0c802aa8a43539070cd19329072b509e/gr9.sml,gr9.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S2211379718326032-gr9.sml,0,,,,,
1-s2.0-S2211379718326032-ga1_lrg.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2211379718326032/ga1/HIGHRES/image/jpeg/eb996da556612b18e14ec6a870ccc246/ga1_lrg.jpg,ga1_lrg.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S2211379718326032-ga1_lrg_lrg.jpg,0,,,,,
1-s2.0-S2211379718326032-gr1_lrg.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2211379718326032/gr1/HIGHRES/image/jpeg/4553e2c68811d69fd64ebcffa9b87a2e/gr1_lrg.jpg,gr1_lrg.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S2211379718326032-gr1_lrg_lrg.jpg,0,,,,,
1-s2.0-S2211379718326032-gr2_lrg.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2211379718326032/gr2/HIGHRES/image/jpeg/4df705df811b6317b1bfd89d9b4cc517/gr2_lrg.jpg,gr2_lrg.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S2211379718326032-gr2_lrg_lrg.jpg,0,,,,,
1-s2.0-S2211379718326032-gr3_lrg.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2211379718326032/gr3/HIGHRES/image/jpeg/c1789a8276964faf759d8b166f8650f8/gr3_lrg.jpg,gr3_lrg.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S2211379718326032-gr3_lrg_lrg.jpg,0,,,,,
1-s2.0-S2211379718326032-gr4_lrg.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2211379718326032/gr4/HIGHRES/image/jpeg/4214d6479f08cf4e0446a6e871214a4a/gr4_lrg.jpg,gr4_lrg.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S2211379718326032-gr4_lrg_lrg.jpg,0,,,,,
1-s2.0-S2211379718326032-gr5_lrg.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2211379718326032/gr5/HIGHRES/image/jpeg/6777940c0bd8f6326a0f1e02e8873a1b/gr5_lrg.jpg,gr5_lrg.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S2211379718326032-gr5_lrg_lrg.jpg,0,,,,,
1-s2.0-S2211379718326032-gr6_lrg.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2211379718326032/gr6/HIGHRES/image/jpeg/2f5ee2269e66c2eb177bd1c5fa17efe0/gr6_lrg.jpg,gr6_lrg.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S2211379718326032-gr6_lrg_lrg.jpg,0,,,,,
1-s2.0-S2211379718326032-gr7_lrg.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2211379718326032/gr7/HIGHRES/image/jpeg/f0659a5595c688ee337426b3dc059b81/gr7_lrg.jpg,gr7_lrg.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S2211379718326032-gr7_lrg_lrg.jpg,0,,,,,
1-s2.0-S2211379718326032-gr8_lrg.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2211379718326032/gr8/HIGHRES/image/jpeg/e568d5ff9f179c6004c52190f43cdb70/gr8_lrg.jpg,gr8_lrg.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S2211379718326032-gr8_lrg_lrg.jpg,0,,,,,
1-s2.0-S2211379718326032-gr9_lrg.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2211379718326032/gr9/HIGHRES/image/jpeg/566af2cd111327e5a6520e2234c75aaa/gr9_lrg.jpg,gr9_lrg.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S2211379718326032-gr9_lrg_lrg.jpg,0,,,,,
