Authors,Author full names,Author(s) ID,Year,Cited by,DOI,Link,stage1_status,stage1_matched_kws,stage2_status,stage2_matched_kws,final_status
Kim T.; Palmore G.T.R.,"Kim, Taehee (55763792514); Palmore, G. Tayhas R. (6603670534)",55763792514; 6603670534,2020,198,10.1038/s41467-020-16998-9,https://www.scopus.com/pages/publications/85088150536?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Liu J.; Manthiram A.,"Liu, J. (57203646711); Manthiram, A. (7004440960)",57203646711; 7004440960,2009,143,10.1149/1.3028318,https://www.scopus.com/pages/publications/56749159767?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Hussin M.H.; Kassim M.J.,"Hussin, M. Hazwan (36701361400); Kassim, M. Jain (15076800600)",36701361400; 15076800600,2011,268,10.1016/j.matchemphys.2010.10.032,https://www.scopus.com/pages/publications/78649999300?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Chang-Bin T.; Dao-Xin L.; Zhan W.; Yang G.,"Chang-Bin, Tang (37055527100); Dao-Xin, Liu (33067531000); Zhan, Wang (37113419600); Yang, Gao (56166879200)",37055527100; 33067531000; 37113419600; 56166879200,2011,116,10.1016/j.apsusc.2011.01.120,https://www.scopus.com/pages/publications/79954594722?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Rui X.H.; Yesibolati N.; Li S.R.; Yuan C.C.; Chen C.H.,"Rui, X.H. (54409541100); Yesibolati, N. (36648273100); Li, S.R. (45161355900); Yuan, C.C. (55745553100); Chen, C.H. (57142236500)",54409541100; 36648273100; 45161355900; 55745553100; 57142236500,2011,184,10.1016/j.ssi.2011.02.013,https://www.scopus.com/pages/publications/79953758675?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Sathiyanarayanan S.; Jeyaprabha C.; Venkatachari G.,"Sathiyanarayanan, S. (6701755053); Jeyaprabha, C. (8553000500); Venkatachari, G. (6701874357)",6701755053; 8553000500; 6701874357,2008,64,10.1016/j.matchemphys.2007.07.024,https://www.scopus.com/pages/publications/36849080233?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Chen C.; Wei S.; Xiang B.; Wang B.; Wang Y.; Liang Y.; Yuan Y.,"Chen, Chao (58604736500); Wei, Shicheng (55728325500); Xiang, Bin (57209160803); Wang, Bo (57216234792); Wang, Yujiang (57804962800); Liang, Yi (55479406200); Yuan, Yue (59553042700)",58604736500; 55728325500; 57209160803; 57216234792; 57804962800; 55479406200; 59553042700,2019,58,10.3390/COATINGS9090587,https://www.scopus.com/pages/publications/85079622195?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Hegde A.C.; Venkatakrishna K.; Eliaz N.,"Hegde, A. Chitharanjan (55664312200); Venkatakrishna, K. (24833681100); Eliaz, N. (7003877801)",55664312200; 24833681100; 7003877801,2010,155,10.1016/j.surfcoat.2010.08.102,https://www.scopus.com/pages/publications/78649795605?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
LI S.-K.; GU G.-H.; QIU G.-Z.; CHEN Z.-X.,"LI, Shuang-ke (54418773900); GU, Guo-hua (35210108300); QIU, Guan-zhou (55647207000); CHEN, Zhi-xiang (57200392495)",54418773900; 35210108300; 55647207000; 57200392495,2018,41,10.1016/S1003-6326(18)64762-4,https://www.scopus.com/pages/publications/85049577215?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Anik M.; Körpe E.; Şen E.,"Anik, Mustafa (6603182812); Körpe, Erhan (23094525800); Şen, Esin (23095877700)",6603182812; 23094525800; 23095877700,2008,164,10.1016/j.surfcoat.2007.07.031,https://www.scopus.com/pages/publications/37349035016?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Bashir S.; Sharma V.; Singh G.; Lgaz H.; Salghi R.; Singh A.; Kumar A.,"Bashir, Sumayah (55892645400); Sharma, Vivek (57195236486); Singh, Gurmeet (58605125500); Lgaz, Hassane (56707358100); Salghi, Rachid (6602839432); Singh, Ambrish (57202898174); Kumar, Ashish (57191567584)",55892645400; 57195236486; 58605125500; 56707358100; 6602839432; 57202898174; 57191567584,2019,40,10.1007/s11661-018-4957-9,https://www.scopus.com/pages/publications/85056002821?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Deyab M.A.,"Deyab, M.A. (8703906700)",8703906700,2009,69,10.1007/s10008-009-0848-8,https://www.scopus.com/pages/publications/69549114461?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Ramezanzadeh B.; Attar M.M.; Farzam M.,"Ramezanzadeh, B. (26421358600); Attar, M.M. (7003708831); Farzam, M. (36164071100)",26421358600; 7003708831; 36164071100,2010,92,10.1016/j.surfcoat.2010.08.028,https://www.scopus.com/pages/publications/77956648394?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Guo R.; Liu T.; Wei X.,"Guo, Rong (36801328900); Liu, Tianqing (56131800500); Wei, Xun (36811035200)",36801328900; 56131800500; 36811035200,2002,89,10.1016/S0927-7757(02)00032-8,https://www.scopus.com/pages/publications/0037019611?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Liu Q.; Ma R.; Du A.; Zhang X.; Yang H.; Fan Y.; Zhao X.; Cao X.,"Liu, Qi (57202980190); Ma, Ruina (25622300700); Du, An (55696856900); Zhang, Xiaoran (57202995791); Yang, Huazhen (57207346071); Fan, Yongzhe (12763183000); Zhao, Xue (55540903200); Cao, Xiaoming (57211494856)",57202980190; 25622300700; 55696856900; 57202995791; 57207346071; 12763183000; 55540903200; 57211494856,2019,47,10.1016/j.apsusc.2019.02.199,https://www.scopus.com/pages/publications/85062457364?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Benhiba F.; Hsissou R.; Benzekri Z.; Belghiti M.E.; Lamhamdi A.; Bellaouchou A.; Guenbour A.; Boukhris S.; Oudda H.; Warad I.; Zarrouk A.,"Benhiba, F. (56368215200); Hsissou, R. (57193233249); Benzekri, Z. (56904302000); Belghiti, M.E. (54381512300); Lamhamdi, A. (12787494400); Bellaouchou, A. (6506664889); Guenbour, A. (56025457900); Boukhris, S. (55995360200); Oudda, H. (56008990500); Warad, I. (6506402060); Zarrouk, A. (36125763200)",56368215200; 57193233249; 56904302000; 54381512300; 12787494400; 6506664889; 56025457900; 55995360200; 56008990500; 6506402060; 36125763200,2020,103,10.1016/j.molliq.2020.113367,https://www.scopus.com/pages/publications/85085958488?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Liu J.; Manthiram A.,"Liu, J. (57203646711); Manthiram, A. (7004440960)",57203646711; 7004440960,2009,141,10.1149/1.3206590,https://www.scopus.com/pages/publications/70349742582?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Sherif E.-S.M.,"Sherif, El-Sayed M. (15078189600)",15078189600,2011,71,10.1016/j.matchemphys.2011.05.043,https://www.scopus.com/pages/publications/79959808333?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Hassan H.H.,"Hassan, Hamdy H (57928302000)",57928302000,2001,49,10.1016/S0169-4332(01)00154-4,https://www.scopus.com/pages/publications/0035971557?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
El Jaouhari A.; Laabd M.; Bazzaoui E.A.; Albourine A.; Martins J.I.; Wang R.; Nagy G.; Bazzaoui M.,"El Jaouhari, A. (57195108875); Laabd, M. (56568315300); Bazzaoui, E.A. (13605577000); Albourine, A. (6506451640); Martins, J.I. (59415086700); Wang, R. (55630330600); Nagy, G. (7201883321); Bazzaoui, M. (6603635972)",57195108875; 56568315300; 13605577000; 6506451640; 59415086700; 55630330600; 7201883321; 6603635972,2015,36,10.1016/j.synthmet.2015.06.017,https://www.scopus.com/pages/publications/84933504130?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Wu W.; Pan Y.; Liu Z.; Du C.; Li X.,"Wu, Wei (56732178800); Pan, Yue (57188829663); Liu, Zhiyong (56118218400); Du, Cuiwei (13408244300); Li, Xiaogang (52063654000)",56732178800; 57188829663; 56118218400; 13408244300; 52063654000,2018,37,10.3390/ma11071074,https://www.scopus.com/pages/publications/85049190763?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Eliyan F.F.; Alfantazi A.,"Eliyan, Faysal Fayez (54986289400); Alfantazi, Akram (7003739667)",54986289400; 7003739667,2013,56,10.1016/j.matchemphys.2013.03.061,https://www.scopus.com/pages/publications/84878322516?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Bai A.; Chuang P.-Y.; Hu C.-C.,"Bai, Allen (7006523117); Chuang, Po-Yao (9335209700); Hu, Chi-Chang (7404571017)",7006523117; 9335209700; 7404571017,2003,100,10.1016/S0254-0584(03)00193-7,https://www.scopus.com/pages/publications/0042563343?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
