UTD_EID,UCS_Locator,Filename,Caption,link,stage1_hit,stage1_keywords
1-s2.0-S0263224126004665-fx1001.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0263224126004665/fx1001/DOWNSAMPLED/image/jpeg/b49631fb38a96ed2cd72823d15af2d94/fx1001.jpg,fx1001.jpg,The obtained impedance measurements during the experimental characterization: rectangular representation.,https://ars.els-cdn.com/content/image/1-s2.0-S0263224126004665-fx1001_lrg.jpg,0,
1-s2.0-S0263224126004665-gr5.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0263224126004665/gr5/DOWNSAMPLED/image/jpeg/223cfeb5c14d39b721b78a0b0f5c222c/gr5.jpg,gr5.jpg,The obtained impedance measurements during the experimental characterization: polar representation.,https://ars.els-cdn.com/content/image/1-s2.0-S0263224126004665-gr5_lrg.jpg,0,
1-s2.0-S0263224126004665-gr6.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0263224126004665/gr6/DOWNSAMPLED/image/jpeg/12b89870158fe24aa3851a7b62ebe834/gr6.jpg,gr6.jpg,Normalized area under the Nyquist plot for all temperatures and time instants considered.,https://ars.els-cdn.com/content/image/1-s2.0-S0263224126004665-gr6_lrg.jpg,0,
1-s2.0-S0263224126004665-gr7.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0263224126004665/gr7/DOWNSAMPLED/image/jpeg/9f2d55d70f123b8ed36954f5025f3407/gr7.jpg,gr7.jpg,Adopted Randles electrical model.,https://ars.els-cdn.com/content/image/1-s2.0-S0263224126004665-gr7_lrg.jpg,0,
1-s2.0-S0263224126004665-gr8.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0263224126004665/gr8/DOWNSAMPLED/image/jpeg/3b0342cadbd7fde828b9a3b58de56152/gr8.jpg,gr8.jpg,Measured and modeled impedances for all temperatures and time constants considered.,https://ars.els-cdn.com/content/image/1-s2.0-S0263224126004665-gr8_lrg.jpg,0,
1-s2.0-S0263224126004665-gr1.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0263224126004665/gr1/DOWNSAMPLED/image/jpeg/922da24496d457d3b9008cae77c7fe91/gr1.jpg,gr1.jpg,Histograms of the residues obtained for the identification of the Randles electrical model for all the temperatures and time instants considered.,https://ars.els-cdn.com/content/image/1-s2.0-S0263224126004665-gr1_lrg.jpg,0,
1-s2.0-S0263224126004665-gr2.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0263224126004665/gr2/DOWNSAMPLED/image/jpeg/c2d278ce3ad90372359319d672f60c3a/gr2.jpg,gr2.jpg,Parallel capacitance for all temperatures and time instants considered.,https://ars.els-cdn.com/content/image/1-s2.0-S0263224126004665-gr2_lrg.jpg,0,
1-s2.0-S0263224126004665-gr3.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0263224126004665/gr3/DOWNSAMPLED/image/jpeg/7ed1c2ddd670db0ed2a7a4edf0ba4fed/gr3.jpg,gr3.jpg,Parallel resistance for all temperatures and time instants considered.,https://ars.els-cdn.com/content/image/1-s2.0-S0263224126004665-gr3_lrg.jpg,0,
1-s2.0-S0263224126004665-gr4.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0263224126004665/gr4/DOWNSAMPLED/image/jpeg/be0984f279551e0284910d1dd79d8f20/gr4.jpg,gr4.jpg,Normalized parallel resistance for all temperatures and time instants considered.,https://ars.els-cdn.com/content/image/1-s2.0-S0263224126004665-gr4_lrg.jpg,0,
1-s2.0-S0263224126004665-gr9.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0263224126004665/gr9/DOWNSAMPLED/image/jpeg/1c46702102f9acaa8bd9f1f270a68850/gr9.jpg,gr9.jpg,Obtained performance on the real part of the measured impedances by validation using the Lin-KK method.,https://ars.els-cdn.com/content/image/1-s2.0-S0263224126004665-gr9_lrg.jpg,0,
1-s2.0-S0263224126004665-gr10.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0263224126004665/gr10/DOWNSAMPLED/image/jpeg/376e41dc5b6f18fe80fb8e3f10c386ee/gr10.jpg,gr10.jpg,Obtained performance on the imaginary part of the measured impedances by validation using the Lin-KK method.,https://ars.els-cdn.com/content/image/1-s2.0-S0263224126004665-gr10_lrg.jpg,0,
1-s2.0-S0263224126004665-gr11.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0263224126004665/gr11/DOWNSAMPLED/image/jpeg/3543c40b406ef6bdd55e26ba54a8db82/gr11.jpg,gr11.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S0263224126004665-gr11_lrg.jpg,0,
1-s2.0-S0263224126004665-fx1001.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0263224126004665/fx1001/THUMBNAIL/image/gif/3f724ff29cafe58f2d81a95588a88865/fx1001.sml,fx1001.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S0263224126004665-fx1001.sml,0,
1-s2.0-S0263224126004665-gr5.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0263224126004665/gr5/THUMBNAIL/image/gif/e062b99511dd8a6c920ff72ab2fd6864/gr5.sml,gr5.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S0263224126004665-gr5.sml,0,
1-s2.0-S0263224126004665-gr6.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0263224126004665/gr6/THUMBNAIL/image/gif/9cf980584e6df843bb1aa9e6aea50f5c/gr6.sml,gr6.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S0263224126004665-gr6.sml,0,
1-s2.0-S0263224126004665-gr7.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0263224126004665/gr7/THUMBNAIL/image/gif/0876a10f1a302867c8fa6e3a480a617b/gr7.sml,gr7.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S0263224126004665-gr7.sml,0,
1-s2.0-S0263224126004665-gr8.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0263224126004665/gr8/THUMBNAIL/image/gif/52b9ce17d9e3b5be946b77ccad85d752/gr8.sml,gr8.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S0263224126004665-gr8.sml,0,
1-s2.0-S0263224126004665-gr1.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0263224126004665/gr1/THUMBNAIL/image/gif/4e50dacda358b854eb1d15a1e540ef84/gr1.sml,gr1.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S0263224126004665-gr1.sml,0,
1-s2.0-S0263224126004665-gr2.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0263224126004665/gr2/THUMBNAIL/image/gif/95bdeb070d68b2e3006b9728e080b01b/gr2.sml,gr2.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S0263224126004665-gr2.sml,0,
1-s2.0-S0263224126004665-gr3.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0263224126004665/gr3/THUMBNAIL/image/gif/983618a14f3c3aa5709725ab0b83001c/gr3.sml,gr3.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S0263224126004665-gr3.sml,0,
1-s2.0-S0263224126004665-gr4.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0263224126004665/gr4/THUMBNAIL/image/gif/c3a04fc67a9665ec2370cf6d6cf4ce4b/gr4.sml,gr4.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S0263224126004665-gr4.sml,0,
1-s2.0-S0263224126004665-gr9.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0263224126004665/gr9/THUMBNAIL/image/gif/91a7038a93f56a73bd927c24cc887683/gr9.sml,gr9.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S0263224126004665-gr9.sml,0,
1-s2.0-S0263224126004665-gr10.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0263224126004665/gr10/THUMBNAIL/image/gif/78be63a26e423d406508bb757225e381/gr10.sml,gr10.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S0263224126004665-gr10.sml,0,
1-s2.0-S0263224126004665-gr11.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0263224126004665/gr11/THUMBNAIL/image/gif/ee1b64625318d0174f2b0ef61f7338b4/gr11.sml,gr11.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S0263224126004665-gr11.sml,0,
1-s2.0-S0263224126004665-fx1001_lrg.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0263224126004665/HIGHRES/image/jpeg/6ad1e349f6e4b5772180669a9593a3b0/fx1001_lrg.jpg,fx1001_lrg.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S0263224126004665-fx1001_lrg_lrg.jpg,0,
1-s2.0-S0263224126004665-gr5_lrg.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0263224126004665/HIGHRES/image/jpeg/8bebee8afedd272861eb1d279255382e/gr5_lrg.jpg,gr5_lrg.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S0263224126004665-gr5_lrg_lrg.jpg,0,
1-s2.0-S0263224126004665-gr6_lrg.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0263224126004665/HIGHRES/image/jpeg/bf4091d415d20f24df842495675a9416/gr6_lrg.jpg,gr6_lrg.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S0263224126004665-gr6_lrg_lrg.jpg,0,
1-s2.0-S0263224126004665-gr7_lrg.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0263224126004665/HIGHRES/image/jpeg/e4a8973c67ec3eea13b0a56438f0d8c7/gr7_lrg.jpg,gr7_lrg.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S0263224126004665-gr7_lrg_lrg.jpg,0,
1-s2.0-S0263224126004665-gr8_lrg.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0263224126004665/HIGHRES/image/jpeg/b3edd656618688b792b320afe102c719/gr8_lrg.jpg,gr8_lrg.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S0263224126004665-gr8_lrg_lrg.jpg,0,
1-s2.0-S0263224126004665-gr1_lrg.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0263224126004665/HIGHRES/image/jpeg/54f0a4afbadf9287101938b7ae2d3e1e/gr1_lrg.jpg,gr1_lrg.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S0263224126004665-gr1_lrg_lrg.jpg,0,
1-s2.0-S0263224126004665-gr2_lrg.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0263224126004665/HIGHRES/image/jpeg/e3ecbf183133690b184cb77063c14416/gr2_lrg.jpg,gr2_lrg.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S0263224126004665-gr2_lrg_lrg.jpg,0,
1-s2.0-S0263224126004665-gr3_lrg.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0263224126004665/HIGHRES/image/jpeg/3a8617f50f7ee5fd3c56078aa4c14c86/gr3_lrg.jpg,gr3_lrg.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S0263224126004665-gr3_lrg_lrg.jpg,0,
1-s2.0-S0263224126004665-gr4_lrg.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0263224126004665/HIGHRES/image/jpeg/cdeaa10d8bb5b8b24b0249634e05331c/gr4_lrg.jpg,gr4_lrg.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S0263224126004665-gr4_lrg_lrg.jpg,0,
1-s2.0-S0263224126004665-gr9_lrg.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S0263224126004665/HIGHRES/image/jpeg/0372c01d2e15aa21d466e7b1d5fc026d/gr9_lrg.jpg,gr9_lrg.jpg,,https://ars.els-cdn.com/content/image/1-s2.0-S0263224126004665-gr9_lrg_lrg.jpg,0,
