Authors,Author full names,Author(s) ID,Title,Year,Cited by,DOI,Link,stage1_status,stage1_matched_kws,stage2_status,stage2_matched_kws,final_status
Zhang S.; Yao Y.; Jin Y.; Shang Z.; Yan Y.,"Zhang, Shuai (57218560232); Yao, Yuanpeng (55613805300); Jin, Yingai (35200753800); Shang, Zhen (57210132907); Yan, Yuying (57299346300)",57218560232; 55613805300; 35200753800; 57210132907; 57299346300,Heat transfer characteristics of ceramic foam/molten salt composite phase change material (CPCM) for medium-temperature thermal energy storage,2022,66,10.1016/j.ijheatmasstransfer.2022.123262,https://www.scopus.com/pages/publications/85134713902?origin=resultslist,passed_stage1,"convection, thermal, temperature",passed_stage2,temperature,relevant
Adun H.; Wole-Osho I.; Okonkwo E.C.; Bamisile O.; Dagbasi M.; Abbasoglu S.,"Adun, Humphrey (57192642401); Wole-Osho, Ifeoluwa (57192639890); Okonkwo, Eric C. (57192645554); Bamisile, Olusola (57192639999); Dagbasi, Mustafa (56369640500); Abbasoglu, Serkan (16066573900)",57192642401; 57192639890; 57192645554; 57192639999; 56369640500; 16066573900,A neural network-based predictive model for the thermal conductivity of hybrid nanofluids,2020,84,10.1016/j.icheatmasstransfer.2020.104930,https://www.scopus.com/pages/publications/85092385809?origin=resultslist,passed_stage1,"thermal, conductivity",passed_stage2,"thermal, conductivity",relevant
Yusuf A.; Bhatti M.M.; Ellahi R.,"Yusuf, Abdulhakeem (57302136000); Bhatti, M.M. (56898628100); Ellahi, R. (6507752011)",57302136000; 56898628100; 6507752011,Study of ionic water/graphene nanofluids in solar panels under the effects of thermal radiation and slip conditions using experimental data,2025,53,10.1016/j.icheatmasstransfer.2025.108845,https://www.scopus.com/pages/publications/105000490665?origin=resultslist,passed_stage1,"convection, temperature",passed_stage2,thermal,relevant
Geng H.; Chen T.; Chen J.; Huang B.; Wang G.,"Geng, Hao (57739902000); Chen, Tairan (56640089200); Chen, Jiacheng (57739359500); Huang, Biao (56501061000); Wang, Guoyu (56205739000)",57739902000; 56640089200; 57739359500; 56501061000; 56205739000,Temperature effects on single cavitation bubble dynamics under the free field condition: Experimental and theoretical investigations on water,2025,42,10.1016/j.ultsonch.2025.107520,https://www.scopus.com/pages/publications/105013740088?origin=resultslist,passed_stage1,temperature,passed_stage2,temperature,relevant
Nosewicz S.; Jurczak G.; Wejrzanowski T.; Ibrahim S.H.; Grabias A.; Węglewski W.; Kaszyca K.; Rojek J.; Chmielewski M.,"Nosewicz, Szymon (55762910700); Jurczak, Grzegorz (6603145013); Wejrzanowski, Tomasz (15049091400); Ibrahim, Samih Haj (57195276154); Grabias, Agnieszka (7004053008); Węglewski, Witold (26424165100); Kaszyca, Kamil (57189991079); Rojek, Jerzy (6602003059); Chmielewski, Marcin (58055348500)",55762910700; 6603145013; 15049091400; 57195276154; 7004053008; 26424165100; 57189991079; 6602003059; 58055348500,Thermal conductivity analysis of porous NiAl materials manufactured by spark plasma sintering: Experimental studies and modelling,2022,24,10.1016/j.ijheatmasstransfer.2022.123070,https://www.scopus.com/pages/publications/85131133458?origin=resultslist,passed_stage1,"heat flux, thermal, conductivity",passed_stage2,"thermal, conductivity, temperature",relevant
Hameete J.; Abdallah M.S.; Thijs L.C.; Homan T.A.M.; Mi X.C.; Dam N.J.; de Goey L.P.H.,"Hameete, J. (58974730300); Abdallah, M.S. (59854444200); Thijs, L.C. (57224321055); Homan, T.A.M. (50661359400); Mi, X.C. (56659724000); Dam, N.J. (7003404917); de Goey, L.P.H. (7003924706)",58974730300; 59854444200; 57224321055; 50661359400; 56659724000; 7003404917; 7003924706,Particle-resolved hyperspectral pyrometry of metal particles,2024,28,10.1016/j.combustflame.2024.113435,https://www.scopus.com/pages/publications/85189683399?origin=resultslist,passed_stage1,temperature,passed_stage2,temperature,relevant
Liaw K.L.; Kurnia J.C.; Sasmito A.P.,"Liaw, Kim Leong (57221769380); Kurnia, Jundika C. (35275124900); Sasmito, Agus P. (56003115700)",57221769380; 35275124900; 56003115700,Enhancing supercritical carbon dioxide heat transfer in helical tube heat exchangers with twisted tape inserts: A computational investigation,2024,20,10.1016/j.ijheatmasstransfer.2024.125598,https://www.scopus.com/pages/publications/85191197865?origin=resultslist,passed_stage1,"heat flux, thermal, conductivity, temperature",passed_stage2,"heat flux, thermal, conductivity, temperature",relevant
Adogbeji V.O.; Sharifpur M.; Meyer J.P.,"Adogbeji, Victor O. (56023257100); Sharifpur, Mohsen (23092177300); Meyer, Josua P. (7406101417)",56023257100; 23092177300; 7406101417,"Experimental investigation of heat transfer, thermal efficiency, pressure drop, and flow characteristics of Fe3O4-MgO magnetic hybrid nanofluid in transitional flow regimes",2025,15,10.1016/j.ijthermalsci.2024.109515,https://www.scopus.com/pages/publications/85209396715?origin=resultslist,passed_stage1,"nusselt, reynolds, temperature, thermal, conductivity",passed_stage2,"conductivity, reynolds, temperature",relevant
Rajabpour A.; Mortazavi B.; Mirchi P.; El Hajj J.; Guo Y.; Zhuang X.; Merabia S.,"Rajabpour, Ali (36665273500); Mortazavi, Bohayra (24399312200); Mirchi, Pedram (57212620806); El Hajj, Julien (58828097200); Guo, Yangyu (55659164100); Zhuang, Xiaoying (24485610900); Merabia, Samy (24335874400)",36665273500; 24399312200; 57212620806; 58828097200; 55659164100; 24485610900; 24335874400,Accurate estimation of interfacial thermal conductance between silicon and diamond enabled by a machine learning interatomic potential,2025,15,10.1016/j.ijthermalsci.2025.109876,https://www.scopus.com/pages/publications/105000050763?origin=resultslist,passed_stage1,"curve, thermal, temperature",passed_stage2,thermal,relevant
Salameh T.; Alkasrawi M.; Olabi A.G.; Makky A.A.; Abdelkareem M.A.,"Salameh, Tareq (36657654000); Alkasrawi, Malek (9333556600); Olabi, Abdul Ghani (6701475462); Makky, Ahmed Al (56123469200); Abdelkareem, Mohammad Ali (13404514900)",36657654000; 9333556600; 6701475462; 56123469200; 13404514900,Experimental and numerical analysis of heat transfer enhancement inside concentric counter flow tube heat exchanger using different nanofluids,2023,22,10.1016/j.ijft.2023.100432,https://www.scopus.com/pages/publications/85169564029?origin=resultslist,passed_stage1,"reynolds, nusselt, temperature",passed_stage2,temperature,relevant
