"Authors","Author full names","Author(s) ID","Title","Year","Cited by","DOI","Link"
"Said Z.; Sohail M.A.; Walvekar R.; Liu C.","Said, Zafar (55260842600); Sohail, Maham Aslam (57571762800); Walvekar, Rashmi (26027674500); Liu, Changhui (56294379500)","55260842600; 57571762800; 26027674500; 56294379500","Impact of sonication durations on thermophysical properties, contact angle and surface tension of f-MWCNTs nanofluid for heat transfer","2022","41","10.1016/j.molliq.2022.119164","https://www.scopus.com/pages/publications/85129470391?origin=resultslist"
"Nabil M.; Rattner A.S.","Nabil, Mahdi (56568504200); Rattner, Alexander S. (39062078200)","56568504200; 39062078200","Large eddy simulations of high-heat-flux supercritical CO2 convection in microchannels: Mixed convection and non-uniform heating","2019","40","10.1016/j.ijheatmasstransfer.2019.118710","https://www.scopus.com/pages/publications/85072561984?origin=resultslist"
"Shonnard D.R.; Whitaker S.","Shonnard, D.R. (35564572200); Whitaker, S. (7102893525)","35564572200; 7102893525","The effective thermal conductivity for a pointcontact porous medium: an experimental study","1989","64","10.1016/0017-9310(89)90138-5","https://www.scopus.com/pages/publications/0024627719?origin=resultslist"
"Swimm K.; Reichenauer G.; Vidi S.; Ebert H.-P.","Swimm, K. (26538133100); Reichenauer, G. (55924410500); Vidi, S. (24391565100); Ebert, H.-P. (7103402406)","26538133100; 55924410500; 24391565100; 7103402406","Gas pressure dependence of the heat transport in porous solids with pores smaller than 10μm","2009","107","10.1007/s10765-009-0617-z","https://www.scopus.com/pages/publications/70349739176?origin=resultslist"
"Xia Y.; Hegde V.I.; Pal K.; Hua X.; Gaines D.; Patel S.; He J.; Aykol M.; Wolverton C.","Xia, Yi (54386316900); Hegde, Vinay I. (56878558600); Pal, Koushik (55613668800); Hua, Xia (57202394934); Gaines, Dale (57219931482); Patel, Shane (57218284484); He, Jiangang (24074387400); Aykol, Muratahan (24460330800); Wolverton, Chris (7007037051)","54386316900; 56878558600; 55613668800; 57202394934; 57219931482; 57218284484; 24074387400; 24460330800; 7007037051","High-Throughput Study of Lattice Thermal Conductivity in Binary Rocksalt and Zinc Blende Compounds including Higher-Order Anharmonicity","2020","172","10.1103/PhysRevX.10.041029","https://www.scopus.com/pages/publications/85096092661?origin=resultslist"
"Utomo A.T.; Poth H.; Robbins P.T.; Pacek A.W.","Utomo, Adi T. (16176435000); Poth, Heiko (55346985600); Robbins, Phillip T. (7201894295); Pacek, Andrzej W. (57204342263)","16176435000; 55346985600; 7201894295; 57204342263","Experimental and theoretical studies of thermal conductivity, viscosity and heat transfer coefficient of titania and alumina nanofluids","2012","150","10.1016/j.ijheatmasstransfer.2012.08.003","https://www.scopus.com/pages/publications/84867537766?origin=resultslist"
"Born M.","Born, M. (7004881212)","7004881212","Investigations on the replacement of mercury in high-pressure discharge lamps by metallic zinc","2001","46","10.1088/0022-3727/34/6/313","https://www.scopus.com/pages/publications/0035925523?origin=resultslist"
"Shabanov S.V.; Gornushkin I.B.","Shabanov, S.V. (7004494316); Gornushkin, I.B. (6603852984)","7004494316; 6603852984","Two-dimensional axisymmetric models of laser induced plasmas relevant to laser induced breakdown spectroscopy","2014","63","10.1016/j.sab.2014.08.026","https://www.scopus.com/pages/publications/84908164828?origin=resultslist"
"Hemmat Esfe M.; Kiannejad Amiri M.; Alirezaie A.","Hemmat Esfe, Mohammad (55767855700); Kiannejad Amiri, Mahmoud (57200210634); Alirezaie, Ali (56548904100)","55767855700; 57200210634; 56548904100","Thermal conductivity of a hybrid nanofluid: A new economic strategy and model","2018","108","10.1007/s10973-017-6836-9","https://www.scopus.com/pages/publications/85040247247?origin=resultslist"
"Babaei H.; DeCoster M.E.; Jeong M.; Hassan Z.M.; Islamoglu T.; Baumgart H.; McGaughey A.J.H.; Redel E.; Farha O.K.; Hopkins P.E.; Malen J.A.; Wilmer C.E.","Babaei, Hasan (55513320600); DeCoster, Mallory E. (57194858670); Jeong, Minyoung (57188859977); Hassan, Zeinab M. (57198355785); Islamoglu, Timur (55578200500); Baumgart, Helmut (7003851589); McGaughey, Alan J. H. (6602227374); Redel, Engelbert (23482944900); Farha, Omar K. (10739706700); Hopkins, Patrick E. (9942663200); Malen, Jonathan A. (14070234400); Wilmer, Christopher E. (26323919200)","55513320600; 57194858670; 57188859977; 57198355785; 55578200500; 7003851589; 6602227374; 23482944900; 10739706700; 9942663200; 14070234400; 26323919200","Observation of reduced thermal conductivity in a metal-organic framework due to the presence of adsorbates","2020","150","10.1038/s41467-020-17822-0","https://www.scopus.com/pages/publications/85089360208?origin=resultslist"
"Bejan A.; Fowler A.J.; Stanescu G.","Bejan, Adrian (34767818800); Fowler, Alex J. (7202264533); Stanescu, George (6603375233)","34767818800; 7202264533; 6603375233","The optimal spacing between horizontal cylinders in a fixed volume cooled by natural convection","1995","111","10.1016/0017-9310(94)00312-J","https://www.scopus.com/pages/publications/0029328759?origin=resultslist"
"Markvoort A.J.; Hilbers P.A.J.; Nedea S.V.","Markvoort, A.J. (6506832583); Hilbers, P.A.J. (6701637827); Nedea, S.V. (6602244644)","6506832583; 6701637827; 6602244644","Molecular dynamics study of the influence of wall-gas interactions on heat flow in nanochannels","2005","108","10.1103/PhysRevE.71.066702","https://www.scopus.com/pages/publications/27944444620?origin=resultslist"
"Thianpong C.; Wongcharee K.; Safikhani H.; Chokphoemphun S.; Saysroy A.; Skullong S.; Eiamsa-ard S.","Thianpong, C. (15058385100); Wongcharee, K. (6506811251); Safikhani, H. (36190146500); Chokphoemphun, S. (36436816400); Saysroy, A. (57188745675); Skullong, S. (26642231700); Eiamsa-ard, S. (8309843000)","15058385100; 6506811251; 36190146500; 36436816400; 57188745675; 26642231700; 8309843000","Multi objective optimization of TiO2/water nanofluid flow within a heat exchanger enhanced with loose-fit delta-wing twisted tape inserts","2022","38","10.1016/j.ijthermalsci.2021.107318","https://www.scopus.com/pages/publications/85119971704?origin=resultslist"
"Chaudhari S.S.; Pundkar A.H.; Giri J.; Sathish T.; Daryapurkar A.S.; Chadge R.; Parthiban A.","Chaudhari, Sharad S. (7006357483); Pundkar, A.H. (57908100400); Giri, Jayant (57198345558); Sathish, T. (56736457800); Daryapurkar, A.S. (55433901200); Chadge, Rajkumar (56258618800); Parthiban, A. (6603223398)","7006357483; 57908100400; 57198345558; 56736457800; 55433901200; 56258618800; 6603223398","Optimizing air conditioning efficiency: Utilizing nano-oxides ZnO, CuO, and TiO2 with traditional and alternative refrigerants in medium temperature range cooling systems","2024","116","10.1007/s10751-024-01931-z","https://www.scopus.com/pages/publications/85195632938?origin=resultslist"
"Briggs A.; Rose J.W.","Briggs, A. (7102129680); Rose, J.W. (7404390536)","7102129680; 7404390536","Effect of fin efficiency on a model for condensation heat transfer on a horizontal, integral-fin tube","1994","111","10.1016/0017-9310(94)90045-0","https://www.scopus.com/pages/publications/0028139782?origin=resultslist"
"Lotfizadehdehkordi B.; Ghadimi A.; Metselaar H.S.C.","Lotfizadehdehkordi, Babak (55589311000); Ghadimi, Azadeh (55537695100); Metselaar, Henk S. C. (57218580099)","55589311000; 55537695100; 57218580099","Box-Behnken experimental design for investigation of stability and thermal conductivity of TiO2 nanofluids","2013","49","10.1007/s11051-012-1369-4","https://www.scopus.com/pages/publications/84871577843?origin=resultslist"
"Żyła G.; Fal J.","Żyła, Gaweł (55214189500); Fal, Jacek (24174229700)","55214189500; 24174229700","Viscosity, thermal and electrical conductivity of silicon dioxide–ethylene glycol transparent nanofluids: An experimental studies","2017","136","10.1016/j.tca.2017.02.001","https://www.scopus.com/pages/publications/85013067853?origin=resultslist"
