UTD_EID,UCS_Locator,Filename,Caption,link,stage1_hit,stage1_keywords,stage2_ocr_status,stage2_ocr_text,stage2_keywords,stage2_hit
1-s2.0-S2590123025000489-gr12.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2590123025000489/gr12/DOWNSAMPLED/image/jpeg/eb93a6a58aea953c5706724bf9afee76/gr12.jpg,gr12.jpg,Hybrid Energy Management Strategies classifications.,https://ars.els-cdn.com/content/image/1-s2.0-S2590123025000489-gr12_lrg.jpg,0,,,,,
1-s2.0-S2590123025000489-gr1.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2590123025000489/gr1/DOWNSAMPLED/image/jpeg/eb47659c48101d04467c6a30837368d4/gr1.jpg,gr1.jpg,Hybrid energy storage system for vehicular application and its control structure.,https://ars.els-cdn.com/content/image/1-s2.0-S2590123025000489-gr1_lrg.jpg,0,,,,,
1-s2.0-S2590123025000489-gr17.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2590123025000489/gr17/DOWNSAMPLED/image/jpeg/bf30ad3c79bcc40208bd0ab6fbb9aaed/gr17.jpg,gr17.jpg,Equivalent circuit of the hybrid energy storage system.,https://ars.els-cdn.com/content/image/1-s2.0-S2590123025000489-gr17_lrg.jpg,0,,,,,
1-s2.0-S2590123025000489-gr18.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2590123025000489/gr18/DOWNSAMPLED/image/jpeg/f7f0713c0d774774d7ad34b129c5753b/gr18.jpg,gr18.jpg,Rule-based power follower energy management strategy control block diagram.,https://ars.els-cdn.com/content/image/1-s2.0-S2590123025000489-gr18_lrg.jpg,0,,,,,
1-s2.0-S2590123025000489-gr19.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2590123025000489/gr19/DOWNSAMPLED/image/jpeg/9be087698bb7e0f757df10bf71f4073f/gr19.jpg,gr19.jpg,Rule-based power follower energy management strategy.,https://ars.els-cdn.com/content/image/1-s2.0-S2590123025000489-gr19_lrg.jpg,0,,,,,
1-s2.0-S2590123025000489-gr5.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2590123025000489/gr5/DOWNSAMPLED/image/jpeg/8c4456dd9ca0dac7feb0c0fc34f14930/gr5.jpg,gr5.jpg,Rule-based frequency split energy management strategy control block diagram.,https://ars.els-cdn.com/content/image/1-s2.0-S2590123025000489-gr5_lrg.jpg,0,,,,,
1-s2.0-S2590123025000489-gr13.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2590123025000489/gr13/DOWNSAMPLED/image/jpeg/4ce0225ea48ba72ab26599cc32922c9d/gr13.jpg,gr13.jpg,Proposed enhanced rule-based power follower energy management strategy control block diagram.,https://ars.els-cdn.com/content/image/1-s2.0-S2590123025000489-gr13_lrg.jpg,0,,,,,
1-s2.0-S2590123025000489-gr4.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2590123025000489/gr4/DOWNSAMPLED/image/jpeg/b1050acc224cfc640e73bb278899f8f6/gr4.jpg,gr4.jpg,"Baseline setup of the converted vehicle for simulation, highlighting the supercapacitors.",https://ars.els-cdn.com/content/image/1-s2.0-S2590123025000489-gr4_lrg.jpg,0,,,,,
1-s2.0-S2590123025000489-gr14.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2590123025000489/gr14/DOWNSAMPLED/image/jpeg/6f2f68b8e164439fe7ef58f4fa247629/gr14.jpg,gr14.jpg,Effect of different smoothing factors α on power output.,https://ars.els-cdn.com/content/image/1-s2.0-S2590123025000489-gr14_lrg.jpg,0,,,,,
1-s2.0-S2590123025000489-gr3.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2590123025000489/gr3/DOWNSAMPLED/image/jpeg/fedb22a754f8ef25f64679f1c4b24951/gr3.jpg,gr3.jpg,Profile of the reference speed signal used in the test.,https://ars.els-cdn.com/content/image/1-s2.0-S2590123025000489-gr3_lrg.jpg,0,,,,,
1-s2.0-S2590123025000489-gr15.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2590123025000489/gr15/DOWNSAMPLED/image/jpeg/2487d560531db80caf79cd022c46bb3f/gr15.jpg,gr15.jpg,Branch-and-bound method for tuning the smoothing factor α.,https://ars.els-cdn.com/content/image/1-s2.0-S2590123025000489-gr15_lrg.jpg,0,,,,,
1-s2.0-S2590123025000489-gr2.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2590123025000489/gr2/DOWNSAMPLED/image/jpeg/4e11fd78e8edbf312fda273736fe9a3d/gr2.jpg,gr2.jpg,"RMS and peak battery current, and Rate of Change (ROC) of battery current under the Power Follower (PF), Frequency Split (FS), and proposed method with various α values. (a) RMS battery current; (b) Peak battery current; (c) ROC of battery current.",https://ars.els-cdn.com/content/image/1-s2.0-S2590123025000489-gr2_lrg.jpg,1,current,2.0," 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

Transmission
System
i]

Bidirectional Motor
pc-pc_ |Vp Drive
Converter
KS it

 

i] Upper Level Control:

 

 

 

=k
Usc

 

Lower Level Control:

{2 Energy Management ;--> Underlying Converter

 

 

 

'Vsc Strategy Regulator
a9 Ke
! | Use Use

ee ww nw ow ww ww ow ww a a i on ee a a ee ee ee ee ee ee ee

 

 

 

 

 

 

co

 @
V m

Supercapacitor
Voltage
Reference

 

 
",voltage,1.0
1-s2.0-S2590123025000489-gr16.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2590123025000489/gr16/DOWNSAMPLED/image/jpeg/4413554ba6b7af6ba627fc0b5a5397a3/gr16.jpg,gr16.jpg,Speed profile of the worldwide harmonized light vehicles test cycle (WLTC) driving cycle.,https://ars.els-cdn.com/content/image/1-s2.0-S2590123025000489-gr16_lrg.jpg,0,,,,,
1-s2.0-S2590123025000489-gr9.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2590123025000489/gr9/DOWNSAMPLED/image/jpeg/aa5b2e15aa8e4d21915abe1e24da42fc/gr9.jpg,gr9.jpg,"Simulation results of Current and voltage profiles for worldwide harmonized light vehicles test cycles (WLTC) driving cycle under Power Follower (PF), Frequency Split (FS), and proposed methods: (a) Battery current with demand current, (b) zoomed section of battery current with demand current, (c) supercapacitor current, (d) battery voltage, and (e) supercapacitor voltage.",https://ars.els-cdn.com/content/image/1-s2.0-S2590123025000489-gr9_lrg.jpg,1,"voltage, current",0.0,"*

p,(ktn) (W)

 
  
    

: | —@— a = 0.500
: |= B =a =0.100] :
[Qe a = 0.040 ]..:
: [== a = 0.020

: |—F— a = 0.010] :
: |= =a =0.005] :

   

 

 

“k k+200 k+400 k+600 k+800 = k+1000

Nn
",,0.0
1-s2.0-S2590123025000489-gr20.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2590123025000489/gr20/DOWNSAMPLED/image/jpeg/5fc187daaf727eef17e2ec68843197cd/gr20.jpg,gr20.jpg,"Battery performance metrics under Power Follower (PF), Frequency Split (FS), and proposed methods across NEDC, WLTC, and HWFET driving cycles: (a) RMS battery current, (b) peak battery current, and (c) rate of change (ROC) of battery current.",https://ars.els-cdn.com/content/image/1-s2.0-S2590123025000489-gr20_lrg.jpg,1,current,0.0," 
",,0.0
1-s2.0-S2590123025000489-gr8.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2590123025000489/gr8/DOWNSAMPLED/image/jpeg/e783137beb9a08404fab9888199ca816/gr8.jpg,gr8.jpg,"Experimental configuration showcasing the hardware components for EMS validation, including the supercapacitor bank, DC-DC converters, motor, and sensors.",https://ars.els-cdn.com/content/image/1-s2.0-S2590123025000489-gr8_lrg.jpg,0,,,,,
1-s2.0-S2590123025000489-gr10.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2590123025000489/gr10/DOWNSAMPLED/image/jpeg/a6f7d0dd52d0617148b35fc9e9c9eabc/gr10.jpg,gr10.jpg,Photo of the experimental setup highlighting components of interest.,https://ars.els-cdn.com/content/image/1-s2.0-S2590123025000489-gr10_lrg.jpg,0,,,,,
1-s2.0-S2590123025000489-gr21.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2590123025000489/gr21/DOWNSAMPLED/image/jpeg/20891c879b61c855460a82bbbf27d337/gr21.jpg,gr21.jpg,"Experimental results of demand, battery, supercapacitor reference and measured currents for (a) power follower; (b) frequency split; (c) proposed energy management strategies.",https://ars.els-cdn.com/content/image/1-s2.0-S2590123025000489-gr21_lrg.jpg,0,,,,,
1-s2.0-S2590123025000489-gr7.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2590123025000489/gr7/DOWNSAMPLED/image/jpeg/624ce1ae6e34290fc47c311fd40c4383/gr7.jpg,gr7.jpg,First (a) and second (b) zoomed parts of the experiment current plots of original power follower energy management strategy.,https://ars.els-cdn.com/content/image/1-s2.0-S2590123025000489-gr7_lrg.jpg,1,current,0.0,"Psc (k) = palk) ~ Pinin

s p(k) = pq(k) + (1-a)

Ps (k) =
a(Da (k) ~ Pinin )
+(1- a) pi.(k - 1)

ps-(k) = Dalk) + a —P nin) +
(1— a) (pglk — 1) — pi. (k -

 
",,0.0
1-s2.0-S2590123025000489-gr11.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2590123025000489/gr11/DOWNSAMPLED/image/jpeg/c7606c443b5db697bc25f79978ecab4d/gr11.jpg,gr11.jpg,First (a) and second (b) zoomed parts of the experiment current plots of frequency split energy management strategy.,https://ars.els-cdn.com/content/image/1-s2.0-S2590123025000489-gr11_lrg.jpg,1,current,0.0,"Start

a=1
lp peak = 145.92A

a=0.1 a=0.01

  

ip pear = 144.36 A ippeak = 144.444
in pms = 76.99 A inpms = 76.94 A
inroc = 5120 A/s in roc = 5118 A/s

  
   

in pms = 87.02 A
in roc = 5379 A/s

   
   

ccc eReRNON DODDS OROEDOOSOEEODORCEDOOSEEGOOSEERORSSEGGOSSSECCESS0e — = beeenne

a=0.1
lnneak = 144.36A
iprms = 16.99 A
iproc = 2120 A/s

a=0.05
ip peak = 144.54 A
in rms = 76.95 A
iproc = 9109.66 A/s

a= 0.01
ippeak = 144.444
innms = 76.94 A
inroc = 5118 A/s

 

a=0.05 a = 0.03 a=0.01
ib veak = 14454A ib peak = 14449A ib peak = 144444

lm ROC = 5109.66 Um ROC = 5136.47 lm ROC = 5118 A/s

0.03 >a > 0.01

 
",,0.0
1-s2.0-S2590123025000489-gr22.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2590123025000489/gr22/DOWNSAMPLED/image/jpeg/e86a38624a625c3f61c9b78caced2b79/gr22.jpg,gr22.jpg,First (a) and second (b) zoomed parts of the experiment current plots of proposed energy management strategy.,https://ars.els-cdn.com/content/image/1-s2.0-S2590123025000489-gr22_lrg.jpg,1,current,2.0,"Frequency of occurrence

 

me
S

Load follower |
Frequency Split}
Proposed

(235x107)

WY
So STAG TH OHOSHLLBAS
GI SSSSSSSSSSSSSSSSSSe

Battery current segments (A)
",current,1.0
1-s2.0-S2590123025000489-gr6.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2590123025000489/gr6/DOWNSAMPLED/image/jpeg/fe83fb5637c46c6eba40d6cce93e43dc/gr6.jpg,gr6.jpg,"Experiment battery current distribution for power follower, frequency split, and proposed energy management strategies.",https://ars.els-cdn.com/content/image/1-s2.0-S2590123025000489-gr6_lrg.jpg,1,current,0.0," 

 

 

 

 

T Lt
qy--------------------
Use’

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

1 t
bo
fot
6
| Q, (

Ld rte my
0 7 Sy it ' |
i NS i 1
2 i = i! |
Ho RR th] og I
3 ir 21 | S |
sos i ; !
BA 8 el ES BR
POE ! a! 1 |

BAS bog BE tee
— ! ~~ i! [
A i) OA
I \ r rr oe wm |
We — ioe
| [© tel 1! — |
| ! alt iy
) : payer; ou | SY]
: = ) fttr ou | = |
) LA i
) Pot BR

-----
RS
",,0.0
1-s2.0-S2590123025000489-gr12.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2590123025000489/gr12/THUMBNAIL/image/gif/a8631f9e5787626f011daf0e1a658705/gr12.sml,gr12.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S2590123025000489-gr12.sml,0,,,,,
1-s2.0-S2590123025000489-gr1.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2590123025000489/gr1/THUMBNAIL/image/gif/385e5ab5168c0e4b3a732e61e88442a7/gr1.sml,gr1.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S2590123025000489-gr1.sml,0,,,,,
1-s2.0-S2590123025000489-gr17.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2590123025000489/gr17/THUMBNAIL/image/gif/b35038b9069bf5ee1e932a31e931f2ef/gr17.sml,gr17.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S2590123025000489-gr17.sml,0,,,,,
