UTD_EID,UCS_Locator,Filename,Caption,link,stage1_hit,stage1_keywords
1-s2.0-S2352152X22025683-gr6.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2352152X22025683/gr6/DOWNSAMPLED/image/jpeg/bfee60cc43fb6efc11927c91493478e9/gr6.jpg,gr6.jpg,Summary of utilized methods to determine the heat release (left) and to analyze the smoke gases (right) in the years from 2000 to 2021.,https://ars.els-cdn.com/content/image/1-s2.0-S2352152X22025683-gr6_lrg.jpg,0,
1-s2.0-S2352152X22025683-gr7.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2352152X22025683/gr7/DOWNSAMPLED/image/jpeg/8b63902a87ec56e433963c561658ceff/gr7.jpg,gr7.jpg,Peak Heat Release Rate of cell(-bundle)s at SOC = 100 % depending on cathode active material and cell geometry.1,https://ars.els-cdn.com/content/image/1-s2.0-S2352152X22025683-gr7_lrg.jpg,0,
1-s2.0-S2352152X22025683-gr4.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2352152X22025683/gr4/DOWNSAMPLED/image/jpeg/c83e9ed17533e7e031247d182d9d3443/gr4.jpg,gr4.jpg,Total Heat Release of cell(−bundle)s with SOC = 100 % depending on cathode active material and cell geometry.,https://ars.els-cdn.com/content/image/1-s2.0-S2352152X22025683-gr4_lrg.jpg,0,
1-s2.0-S2352152X22025683-gr5.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2352152X22025683/gr5/DOWNSAMPLED/image/jpeg/20b8a25a5a725063b9ff35b5784b2fc1/gr5.jpg,gr5.jpg,"CO production of cells depending on their cell geometry, SOC and cathode active material.",https://ars.els-cdn.com/content/image/1-s2.0-S2352152X22025683-gr5_lrg.jpg,0,
1-s2.0-S2352152X22025683-gr2.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2352152X22025683/gr2/DOWNSAMPLED/image/jpeg/c0d190059fd5035ee1d45515e3c70718/gr2.jpg,gr2.jpg,"Total amount of gas emitted from cells during TR as a function of cell geometry, cathode active material and SOC, including overcharge (OC) conditions.",https://ars.els-cdn.com/content/image/1-s2.0-S2352152X22025683-gr2_lrg.jpg,0,
1-s2.0-S2352152X22025683-gr3.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2352152X22025683/gr3/DOWNSAMPLED/image/jpeg/9ccccb6dff53bab6fec722f11108cc44/gr3.jpg,gr3.jpg,Total Heat Release of LFP cells as a function of cell geometry and SOC.,https://ars.els-cdn.com/content/image/1-s2.0-S2352152X22025683-gr3_lrg.jpg,0,
1-s2.0-S2352152X22025683-gr1.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2352152X22025683/gr1/DOWNSAMPLED/image/jpeg/bcaec0b02a01555d56db1dc3d9a66313/gr1.jpg,gr1.jpg,HF released from LFP cells as a function of cell geometry and SOC.,https://ars.els-cdn.com/content/image/1-s2.0-S2352152X22025683-gr1_lrg.jpg,0,
1-s2.0-S2352152X22025683-gr6.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2352152X22025683/gr6/THUMBNAIL/image/gif/8a87c5dddf1ba802fcf7d93f1c7aa063/gr6.sml,gr6.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S2352152X22025683-gr6.sml,0,
1-s2.0-S2352152X22025683-gr7.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2352152X22025683/gr7/THUMBNAIL/image/gif/47b1d8893dcfbc90360dc0f522e09aa3/gr7.sml,gr7.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S2352152X22025683-gr7.sml,0,
1-s2.0-S2352152X22025683-gr4.sml,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S2352152X22025683/gr4/THUMBNAIL/image/gif/0cad81839088f35e4a86a05e13b12cd9/gr4.sml,gr4.sml,,https://ars.els-cdn.com/content/image/1-s2.0-S2352152X22025683-gr4.sml,0,
