Authors,Author full names,Author(s) ID,Title,Year,Cited by,DOI,Link,stage1_status,stage1_matched_kws,stage2_status,stage2_matched_kws,final_status
Wassiliadis N.; Steinsträter M.; Schreiber M.; Rosner P.; Nicoletti L.; Schmid F.; Ank M.; Teichert O.; Wildfeuer L.; Schneider J.; Koch A.; König A.; Glatz A.; Gandlgruber J.; Kröger T.; Lin X.; Lienkamp M.,"Wassiliadis, Nikolaos (57194639271); Steinsträter, Matthias (57211643643); Schreiber, Markus (57681905200); Rosner, Philipp (57682734400); Nicoletti, Lorenzo (57211033344); Schmid, Florian (57222317068); Ank, Manuel (57223858386); Teichert, Olaf (57212876506); Wildfeuer, Leo (57202189290); Schneider, Jakob (57222096934); Koch, Alexander (55186898100); König, Adrian (57197732279); Glatz, Andreas (57681626600); Gandlgruber, Josef (57407838300); Kröger, Thomas (57202318283); Lin, Xue (57205443271); Lienkamp, Markus (6602932870)",57194639271; 57211643643; 57681905200; 57682734400; 57211033344; 57222317068; 57223858386; 57212876506; 57202189290; 57222096934; 55186898100; 57197732279; 57681626600; 57407838300; 57202318283; 57205443271; 6602932870,"Quantifying the state of the art of electric powertrains in battery electric vehicles: Range, efficiency, and lifetime from component to system level of the Volkswagen ID.3",2022,134,10.1016/j.etran.2022.100167,https://www.scopus.com/pages/publications/85129967717?origin=resultslist,passed_stage1,"charge, cycle life, capacity, discharge, impedance, plot, current, voltage",passed_stage2,"cycle life, capacity, impedance, discharge, current",relevant
Wang Z.; Zhao X.; Fu L.; Zhen D.; Gu F.; Ball A.D.,"Wang, Zuolu (57205615418); Zhao, Xiaoyu (57721158000); Fu, Lei (58604974600); Zhen, Dong (55489116300); Gu, Fengshou (35236971500); Ball, Andrew D. (7202932654)",57205615418; 57721158000; 58604974600; 55489116300; 35236971500; 7202932654,A review on rapid state of health estimation of lithium-ion batteries in electric vehicles,2023,94,10.1016/j.seta.2023.103457,https://www.scopus.com/pages/publications/85171612552?origin=resultslist,passed_stage1,"capacity, current, voltage, impedance",passed_stage2,impedance,relevant
Li W.; Demir I.; Cao D.; Jöst D.; Ringbeck F.; Junker M.; Sauer D.U.,"Li, Weihan (57216172072); Demir, Iskender (57352883600); Cao, Decheng (57215932470); Jöst, Dominik (57209885755); Ringbeck, Florian (57201400296); Junker, Mark (57221100857); Sauer, Dirk Uwe (7005040792)",57216172072; 57352883600; 57215932470; 57209885755; 57201400296; 57221100857; 7005040792,Data-driven systematic parameter identification of an electrochemical model for lithium-ion batteries with artificial intelligence,2022,183,10.1016/j.ensm.2021.10.023,https://www.scopus.com/pages/publications/85119915962?origin=resultslist,passed_stage1,"capacity, voltage, discharge",passed_stage2,"capacity, charge, discharge, current",relevant
Blanc L.E.; Kundu D.; Nazar L.F.,"Blanc, Lauren E. (57200218613); Kundu, Dipan (55415950100); Nazar, Linda F. (7004384886)",57200218613; 55415950100; 7004384886,Scientific Challenges for the Implementation of Zn-Ion Batteries,2020,1824,10.1016/j.joule.2020.03.002,https://www.scopus.com/pages/publications/85082847195?origin=resultslist,passed_stage1,"charge, current",passed_stage2,"capacity, voltage, discharge",relevant
Shodiev A.; Chouchane M.; Gaberscek M.; Arcelus O.; Xu J.; Oularbi H.; Yu J.; Li J.; Morcrette M.; Franco A.A.,"Shodiev, Abbos (57214880036); Chouchane, Mehdi (57209574916); Gaberscek, Miran (7004391419); Arcelus, Oier (56674646000); Xu, Jiahui (57423344300); Oularbi, Hassan (57254137600); Yu, Jia (57460911600); Li, Jianlin (55883344000); Morcrette, Mathieu (7004554183); Franco, Alejandro A. (57198188522)",57214880036; 57209574916; 7004391419; 56674646000; 57423344300; 57254137600; 57460911600; 55883344000; 7004554183; 57198188522,Deconvoluting the benefits of porosity distribution in layered electrodes on the electrochemical performance of Li-ion batteries,2022,95,10.1016/j.ensm.2022.01.058,https://www.scopus.com/pages/publications/85125009920?origin=resultslist,passed_stage1,"discharge, current, impedance, plot",passed_stage2,"capacity, specific capacity",relevant
Ngandjong A.C.; Lombardo T.; Primo E.N.; Chouchane M.; Shodiev A.; Arcelus O.; Franco A.A.,"Ngandjong, Alain C. (57189221690); Lombardo, Teo (57508497700); Primo, Emiliano N. (55653926500); Chouchane, Mehdi (57209574916); Shodiev, Abbos (57214880036); Arcelus, Oier (56674646000); Franco, Alejandro A. (57198188522)",57189221690; 57508497700; 55653926500; 57209574916; 57214880036; 56674646000; 57198188522,Investigating electrode calendering and its impact on electrochemical performance by means of a new discrete element method model: Towards a digital twin of Li-Ion battery manufacturing,2021,214,10.1016/j.jpowsour.2020.229320,https://www.scopus.com/pages/publications/85098077466?origin=resultslist,passed_stage1,"capacity, impedance, discharge, current, specific capacity, curve",passed_stage2,"capacity, specific capacity",relevant
Popp H.; Koller M.; Jahn M.; Bergmann A.,"Popp, Hartmut (55307976000); Koller, Markus (57200645902); Jahn, Marcus (57207874754); Bergmann, Alexander (35751240300)",55307976000; 57200645902; 57207874754; 35751240300,Mechanical methods for state determination of Lithium-Ion secondary batteries: A review,2020,112,10.1016/j.est.2020.101859,https://www.scopus.com/pages/publications/85091340815?origin=resultslist,passed_stage1,"charge, voltage, discharge, current",passed_stage2,"charge, discharge",relevant
Pozzato G.; Allam A.; Onori S.,"Pozzato, Gabriele (57195318929); Allam, Anirudh (56819861900); Onori, Simona (35092798000)",57195318929; 56819861900; 35092798000,Lithium-ion battery aging dataset based on electric vehicle real-driving profiles,2022,119,10.1016/j.dib.2022.107995,https://www.scopus.com/pages/publications/85125448320?origin=resultslist,passed_stage1,"charge, capacity, discharge, current, voltage",passed_stage2,"capacity, voltage, current",relevant
Xu Y.; Hu M.; Zhou A.; Li Y.; Li S.; Fu C.; Gong C.,"Xu, Yidan (57211296537); Hu, Minghui (34770380400); Zhou, Anjian (57204139855); Li, Yunxiao (57204139149); Li, Shuxian (57202869435); Fu, Chunyun (55618267400); Gong, Changchao (57202872157)",57211296537; 34770380400; 57204139855; 57204139149; 57202869435; 55618267400; 57202872157,State of charge estimation for lithium-ion batteries based on adaptive dual Kalman filter,2020,151,10.1016/j.apm.2019.09.011,https://www.scopus.com/pages/publications/85074442938?origin=resultslist,passed_stage1,"current, voltage, plot, curve",passed_stage2,"charge, discharge, current, voltage, curve",relevant
Maiorino A.; Cilenti C.; Petruzziello F.; Aprea C.,"Maiorino, Angelo (16307404000); Cilenti, Claudio (58704865000); Petruzziello, Fabio (57326573700); Aprea, Ciro (7005195732)",16307404000; 58704865000; 57326573700; 7005195732,A review on thermal management of battery packs for electric vehicles,2024,129,10.1016/j.applthermaleng.2023.122035,https://www.scopus.com/pages/publications/85177489330?origin=resultslist,passed_stage1,"charge, discharge, curve",passed_stage2,voltage,relevant
