Authors,Author full names,Author(s) ID,Year,Cited by,DOI,Link,stage1_status,stage1_matched_kws,stage2_status,stage2_matched_kws,final_status
Pecher O.; Carretero-Gonzalez J.; Griffith K.J.; Grey C.P.,"Pecher, Oliver (26031722100); Carretero-Gonzalez, Javier (24075301200); Griffith, Kent J. (36903146100); Grey, Clare P. (7006250961)",26031722100; 24075301200; 36903146100; 7006250961,2017,385,10.1021/acs.chemmater.6b03183,https://www.scopus.com/pages/publications/85011677963?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Zhou D.; Ravey A.; Al-Durra A.; Gao F.,"Zhou, Daming (57104141400); Ravey, Alexandre (37057832700); Al-Durra, Ahmed (24331074800); Gao, Fei (26665350700)",57104141400; 37057832700; 24331074800; 26665350700,2017,138,10.1016/j.enconman.2017.08.079,https://www.scopus.com/pages/publications/85042199496?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Spitthoff L.; Shearing P.R.; Burheim O.S.,"Spitthoff, Lena (57204573210); Shearing, Paul R. (24178516700); Burheim, Odne Stokke (28067554400)",57204573210; 24178516700; 28067554400,2021,141,10.3390/en14051248,https://www.scopus.com/pages/publications/85106269432?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Yu F.; Huang T.; Zhang P.; Tao Y.; Cui F.-Z.; Xie Q.; Yao S.; Wang F.,"Yu, Feng (56949623300); Huang, Ting (56532820300); Zhang, Panpan (57202959884); Tao, Yaping (36183584400); Cui, Fu-Zhi (57194285821); Xie, Qingji (7201448431); Yao, Shouzhuo (35619833600); Wang, Faxing (55574890500)",56949623300; 56532820300; 57202959884; 36183584400; 57194285821; 7201448431; 35619833600; 55574890500,2019,223,10.1016/j.ensm.2019.07.023,https://www.scopus.com/pages/publications/85069642634?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Xu Z.; Wang J.; Lund P.D.; Zhang Y.,"Xu, Zhicheng (57212377667); Wang, Jun (56969095900); Lund, Peter D. (57200864492); Zhang, Yaoming (42962827600)",57212377667; 56969095900; 57200864492; 42962827600,2022,222,10.1016/j.energy.2021.122815,https://www.scopus.com/pages/publications/85120937938?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Love C.T.; Baturina O.A.; Swider-Lyons K.E.,"Love, Corey T. (7102181923); Baturina, Olga A. (7004172853); Swider-Lyons, Karen E. (6701629920)",7102181923; 7004172853; 6701629920,2014,163,10.1149/2.0041502eel,https://www.scopus.com/pages/publications/84924078348?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Ma J.; Sung J.; Hong J.; Chae S.; Kim N.; Choi S.-H.; Nam G.; Son Y.; Kim S.Y.; Ko M.; Cho J.,"Ma, Jiyoung (57189029357); Sung, Jaekyung (57201661192); Hong, Jaehyung (56185169600); Chae, Sujong (56258842100); Kim, Namhyung (57189033676); Choi, Seong-Hyeon (57212023114); Nam, Gyutae (56108406000); Son, Yoonkook (55751815900); Kim, Sung Youb (8429163800); Ko, Minseong (55793888700); Cho, Jaephil (8571591800)",57189029357; 57201661192; 56185169600; 56258842100; 57189033676; 57212023114; 56108406000; 55751815900; 8429163800; 55793888700; 8571591800,2019,134,10.1038/s41467-018-08233-3,https://www.scopus.com/pages/publications/85060754087?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Alvarez Anton J.C.; Garcia Nieto P.J.; Blanco Viejo C.; Vilan Vilan J.A.,"Alvarez Anton, Juan Carlos (7006164888); Garcia Nieto, Paulino Jose (6602796904); Blanco Viejo, Cecilio (7202233976); Vilan Vilan, Jose Antonio (13907441900)",7006164888; 6602796904; 7202233976; 13907441900,2013,478,10.1109/TPEL.2013.2243918,https://www.scopus.com/pages/publications/84879110729?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Liu X.; Wang D.; Liu G.; Srinivasan V.; Liu Z.; Hussain Z.; Yang W.,"Liu, Xiaosong (35253884500); Wang, Dongdong (57216775583); Liu, Gao (57203376740); Srinivasan, Venkat (7201539964); Liu, Zhi (8411433800); Hussain, Zahid (57213356244); Yang, Wanli (7407760212)",35253884500; 57216775583; 57203376740; 7201539964; 8411433800; 57213356244; 7407760212,2013,266,10.1038/ncomms3568,https://www.scopus.com/pages/publications/84885462145?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
Liu L.; Lu H.; Han C.; Chen X.; Liu S.; Zhang J.; Chen X.; Wang X.; Wang R.; Xu J.; Liu H.K.; Dou S.X.; Li W.,"Liu, Liyang (57129426000); Lu, Haiying (59888737200); Han, Chao (37025986100); Chen, Xianfei (57192440239); Liu, Sucheng (58727392700); Zhang, Jiakui (57209003154); Chen, Xianghong (57214086261); Wang, Xinyi (58747232700); Wang, Rui (59808586000); Xu, Jiantie (55446649100); Liu, Hua Kun (57212370121); Dou, Shi Xue (56132841400); Li, Weijie (37026519500)",57129426000; 59888737200; 37025986100; 57192440239; 58727392700; 57209003154; 57214086261; 58747232700; 59808586000; 55446649100; 57212370121; 56132841400; 37026519500,2023,95,10.1021/acsnano.3c08716,https://www.scopus.com/pages/publications/85178135712?origin=resultslist,no_xml,,not_processed_stage2,,dropped — no_xml
