UTD EID,UCS Locator,Filename,Caption,link,contains_keywords,found_keywords
1-s2.0-S127096382501380X-gr13.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S127096382501380X/gr13/DOWNSAMPLED/image/jpeg/62faabbc8aecf5a713255a715873b7be/gr13.jpg,gr13.jpg,The architecture of the proposed swarm-enhanced LMB filter.,https://ars.els-cdn.com/content/image/1-s2.0-S127096382501380X-gr13_lrg.jpg,0,
1-s2.0-S127096382501380X-gr12.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S127096382501380X/gr12/DOWNSAMPLED/image/jpeg/2fad71300e31dc796b4e67c7bd9d3d28/gr12.jpg,gr12.jpg,"An illustration of the trajectory of an elliptical-shaped swarm, where the center of the swarm guides the overall motion and the trajectory of individual drone from k − 1 time to kth time.",https://ars.els-cdn.com/content/image/1-s2.0-S127096382501380X-gr12_lrg.jpg,0,
1-s2.0-S127096382501380X-gr11.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S127096382501380X/gr11/DOWNSAMPLED/image/jpeg/2fbe650a6379f9dcfd1ac45480e8f15e/gr11.jpg,gr11.jpg,"An illustration of the trajectory of a V-shaped swarm, the tip of the swarm guides the overall motion and the trajectory of individual drone from k − 1 time to kth time.",https://ars.els-cdn.com/content/image/1-s2.0-S127096382501380X-gr11_lrg.jpg,0,
1-s2.0-S127096382501380X-gr10.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S127096382501380X/gr10/DOWNSAMPLED/image/jpeg/f16011db79e79fde91e6c8ab69b5d7d7/gr10.jpg,gr10.jpg,Visualization of the valid regions of V-shape formations.,https://ars.els-cdn.com/content/image/1-s2.0-S127096382501380X-gr10_lrg.jpg,0,
1-s2.0-S127096382501380X-gr4.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S127096382501380X/gr4/DOWNSAMPLED/image/jpeg/1fc4b4731543516fa06523e888090915/gr4.jpg,gr4.jpg,(a) Ground-truth trajectories of an elliptical swarm with sampled positions highlighted along the path and (b) a sample measurement at a single time step with a clutter rate of 200.,https://ars.els-cdn.com/content/image/1-s2.0-S127096382501380X-gr4_lrg.jpg,0,
1-s2.0-S127096382501380X-gr3.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S127096382501380X/gr3/DOWNSAMPLED/image/jpeg/e6ddcc65fc36e1f8ec60133121c8f611/gr3.jpg,gr3.jpg,"Ellipse-shaped scenario results averaged over 50 Monte Carlo runs: (a) cardinality and (b) OSPA(2) distances returned by the proposed swarm-enhanced LMB filter compared with the LMB filter, with a clutter rate of λ c = 100 .",https://ars.els-cdn.com/content/image/1-s2.0-S127096382501380X-gr3_lrg.jpg,0,
1-s2.0-S127096382501380X-gr2.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S127096382501380X/gr2/DOWNSAMPLED/image/jpeg/3c04692890978d68cbc66ce3ec9def39/gr2.jpg,gr2.jpg,"Ellipse-shaped scenario results averaged over 50 Monte Carlo runs: (a) cardinality and (b) OSPA(2) distances returned by the proposed swarm-enhanced LMB filter compared with the LMB filter, with a clutter rate of λ c = 200 .",https://ars.els-cdn.com/content/image/1-s2.0-S127096382501380X-gr2_lrg.jpg,0,
1-s2.0-S127096382501380X-gr1.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S127096382501380X/gr1/DOWNSAMPLED/image/jpeg/368e9cc76daebec42894806623326f6d/gr1.jpg,gr1.jpg,"(a) Ground-truth trajectories of a V-shaped swarm with sampled positions highlighted along the paths, and (b) a sample measurement at a single time step with a clutter rate of 200.",https://ars.els-cdn.com/content/image/1-s2.0-S127096382501380X-gr1_lrg.jpg,0,
1-s2.0-S127096382501380X-gr8.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S127096382501380X/gr8/DOWNSAMPLED/image/jpeg/41855a532bde151dc9958f204902e162/gr8.jpg,gr8.jpg,"V-shaped scenario results averaged over 50 Monte Carlo runs: (a) cardinality and (b) OSPA(2) distances returned by the proposed swarm-enhanced LMB filter compared with the LMB filter, with a clutter rate of λ c = 100 .",https://ars.els-cdn.com/content/image/1-s2.0-S127096382501380X-gr8_lrg.jpg,0,
1-s2.0-S127096382501380X-gr7.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S127096382501380X/gr7/DOWNSAMPLED/image/jpeg/47557697450de92c9e74b938148ebb99/gr7.jpg,gr7.jpg,"V-shaped scenario results averaged over 50 Monte Carlo runs: (a) cardinality and (b) OSPA(2) distances returned by the proposed swarm-enhanced LMB filter compared with the LMB filter, with a clutter rate of λ c = 200 .",https://ars.els-cdn.com/content/image/1-s2.0-S127096382501380X-gr7_lrg.jpg,0,
