Caption,Filename,UCS Locator,UTD EID,contains_keywords,contains_keywords2,found_keywords,link,text
Generalized network.,gr9.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S127096382501332X/gr9/DOWNSAMPLED/image/jpeg/91eb62a43a87822499fd4d1c0f05ae07/gr9.jpg,1-s2.0-S127096382501332X-gr9.jpg,0,,,https://ars.els-cdn.com/content/image/1-s2.0-S127096382501332X-gr9_lrg.jpg,
Typical power pattern polar plot.,gr8.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S127096382501332X/gr8/DOWNSAMPLED/image/jpeg/19d7ce67efd3d0f7c72a8ee815f1b667/gr8.jpg,1-s2.0-S127096382501332X-gr8.jpg,0,,,https://ars.els-cdn.com/content/image/1-s2.0-S127096382501332X-gr8_lrg.jpg,
Decomposition of an antenna polarization.,gr7.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S127096382501332X/gr7/DOWNSAMPLED/image/jpeg/2cdc0eb0117657fbd6b56db7fbce3369/gr7.jpg,1-s2.0-S127096382501332X-gr7.jpg,0,,,https://ars.els-cdn.com/content/image/1-s2.0-S127096382501332X-gr7_lrg.jpg,
"Species mole fractions at 50 mbar, for a CO2 mixture.",gr6.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S127096382501332X/gr6/DOWNSAMPLED/image/jpeg/e72f0956864c03be8aeb511f4ab75af6/gr6.jpg,1-s2.0-S127096382501332X-gr6.jpg,0,,,https://ars.els-cdn.com/content/image/1-s2.0-S127096382501332X-gr6_lrg.jpg,
"Numerical evolution of the electron number density and corresponding plasma frequency along the centreline, for CO 2 plasmas at 50 mbar.",gr5.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S127096382501332X/gr5/DOWNSAMPLED/image/jpeg/7d2c106057e53510786f3ad5ea4eee33/gr5.jpg,1-s2.0-S127096382501332X-gr5.jpg,0,,,https://ars.els-cdn.com/content/image/1-s2.0-S127096382501332X-gr5_lrg.jpg,
Design of the stagnation probe with cooling system (Credit: J. Desset and L. Beaufaijt).,gr4.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S127096382501332X/gr4/DOWNSAMPLED/image/jpeg/e0b828169213c2f5b6cc5c0b72cb2913/gr4.jpg,1-s2.0-S127096382501332X-gr4.jpg,0,,,https://ars.els-cdn.com/content/image/1-s2.0-S127096382501332X-gr4_lrg.jpg,
Antenna gain in the boresight direction for cases without and with radome.,gr3.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S127096382501332X/gr3/DOWNSAMPLED/image/jpeg/fe55ed09dff58c83951ee11a0abdc24e/gr3.jpg,1-s2.0-S127096382501332X-gr3.jpg,0,,,https://ars.els-cdn.com/content/image/1-s2.0-S127096382501332X-gr3_lrg.jpg,
"Normalized co- and cross-polar radiation patterns, in the (left) H-plane and (right) E-plane, with the different radomes, for 37 GHz.",gr2.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S127096382501332X/gr2/DOWNSAMPLED/image/jpeg/c244c8ec96c50adc94eb2ea3d93e7345/gr2.jpg,1-s2.0-S127096382501332X-gr2.jpg,0,,,https://ars.els-cdn.com/content/image/1-s2.0-S127096382501332X-gr2_lrg.jpg,
"(left) Experimental setup and (right) photo with the stagnation probe during a test, for CO2 plasma.",gr1.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S127096382501332X/gr1/DOWNSAMPLED/image/jpeg/53cafc2f7874f55013f00279aedfcefc/gr1.jpg,1-s2.0-S127096382501332X-gr1.jpg,0,,,https://ars.els-cdn.com/content/image/1-s2.0-S127096382501332X-gr1_lrg.jpg,
"VNA magnitude uncertainty, for frequencies between 30 GHz and 40 GHz, according to [41].",gr10.jpg,https://s3-eu-west-1.amazonaws.com/prod-ucs-content-store-eu-west/content/pii:S127096382501332X/gr10/DOWNSAMPLED/image/jpeg/44a4a9172ff1b120bef7f9b147762c56/gr10.jpg,1-s2.0-S127096382501332X-gr10.jpg,0,,,https://ars.els-cdn.com/content/image/1-s2.0-S127096382501332X-gr10_lrg.jpg,
