Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID,StatusCode,Processed
"Zhang, W.; Chen, B.; Wu, X.; Jia, H.; Jiang, A.; Tang, Z.","Zhang, Wenhao (57212391962); Chen, Bing (56353242500); Wu, Xiaojun (55668367000); Jia, Hongyin (55560285000); Jiang, Anlin (57296616600); Tang, Zhigong (13905578400)",57212391962; 56353242500; 55668367000; 55560285000; 57296616600; 13905578400,Integrated design of variable-geometric inward-turning inlet and waverider via accurate capture profile matching,2026,Aerospace Science and Technology,172.0,,111749,,,0,10.1016/j.ast.2026.111749,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028375254&doi=10.1016%2Fj.ast.2026.111749&partnerID=40&md5=a4739fe8a3ddee958c73b17f042577d1,"The integration of a waverider forebody and inward-turning inlet is a key configuration characteristic of combined-cycle air-breathing vehicles. Under the forebody’s influence, the inlet’s actual incoming flow parameters deviate from the designed values based on a uniform flowfield. Meanwhile, conventional variable-geometry inward-turning inlets modify the original streamline-tracking profile and alter the external compression stream-surface, thereby impairing flow capture and degrading the aerodynamic performance of the integrated design. This paper proposes an integrated design method for variable-geometric inward-turning inlets and waveriders with precise capture profile matching. By iteratively determining the inlet’s three-dimensional (3D) spatial capture profile position, parameters on this profile are matched to the specified designed values. Then the root mean square error (RMSE) of streamline deviation is introduced to quantify discrepancies between the streamline-tracking and target profiles, enabling adjustable design by directly constraining the profile while preserving the external compression stream-surface. The capture area and flow splitting device are tailored to engine requirements for wide-speed-range flow matching. Under viscous conditions, at the design point (Ma=7.0) of the integrated configuration designed via this method, the mass-flow-weighted average Mach number on the actual capture profile is 5.485, with a deviation of only 0.27 % from the designed incoming flow parameter (Ma=5.5), effectively improving design input accuracy. The RMSE of streamline deviation at the adjustable rotating shaft, denoted as RMSE(Δ d), is 0.717 mm, meeting the rotating shaft’s engineering design requirements via the local stream-surface cross-section. The inlet operates normally at Mach numbers 2.0 to 7.0, with well-organized internal flow and satisfied flow demand. © 2026 Elsevier Masson SAS.",Combined-cycle air-breathing vehicle; Integration; Inward-turning inlet; Variable-geometry design; Waverider,Aerodynamics; Design; Fighter aircraft; Fire fighting equipment; Geometry; Intake systems; Iterative methods; Mach number; Mean square error; Rotating machinery; Turning; Air breathing vehicles; Combined cycle; Combined-cycle air-breathing vehicle; Geometry designs; Integrated designs; Inward-turning inlet; Stream surface; Variable geometry; Variable-geometry design; Wave-riders; Integration,Article,Final,,Scopus,2-s2.0-105028375254,400,0.0
"Wang, J.; Zhang, C.; Zheng, C.; Bao, J.; Zheng, Z.","Wang, Jun (58771111900); Zhang, Cheng (57199501811); Zheng, Chenming (57208860626); Bao, Jiayu (59223925200); Zheng, Zhangyao (60029981000)",58771111900; 57199501811; 57208860626; 59223925200; 60029981000,Fuzzy adaptive prescribed performance fault-tolerant control of hypersonic vehicles with multiple faults and input saturation,2026,Aerospace Science and Technology,172.0,,111442,,,0,10.1016/j.ast.2025.111442,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028334425&doi=10.1016%2Fj.ast.2025.111442&partnerID=40&md5=79efb42dba0f995e9437d35db094f9ec,"In this paper, a fuzzy adaptive prescribed performance attitude fault-tolerant control method for hypersonic vehicles is proposed to address full-state constraints, actuator and sensor faults, actuator saturation, and external disturbances. A fuzzy neural network-based fault estimation algorithm is proposed to estimate sensor faults. A fuzzy neural network extended state observer is designed to estimate system states and disturbances, thereby alleviating the effects of sensor faults and external uncertainties. To address the state constraint problem, a new prescribed performance control method with unknown initial error is designed to ensure that the tracking error remains within the preset range. Furthermore, a new anti-saturation compensation mechanism is designed to mitigate the effects of actuator saturation. The stability of the system is demonstrated through Lyapunov stability analysis. Simulation results show that the proposed control scheme is capable of achieving attitude tracking of hypersonic vehicles under multiple failure scenarios, thereby providing a reliable control strategy for the safety of hypersonic vehicles. © 2026 Elsevier Masson SAS.",Actuator and sensor faults; Fault-tolerant control; Fuzzy neural network; Hypersonic vehicle; Prescribed performance,Actuators; Adaptive control systems; Control system stability; Fault tolerance; Fault tolerant computer systems; Fuzzy inference; Fuzzy systems; Hypersonic aerodynamics; Navigation; Vehicle performance; Actuator and sensor faults; Actuator saturations; Control methods; Faults tolerant controls; Fuzzy adaptive; Fuzzy-neural-networks; Multiple inputs; Prescribed performance; Sensors faults; State constraints; Fuzzy neural networks,Article,Final,,Scopus,2-s2.0-105028334425,400,0.0
"Lemma, T.A.; Hashmi, M.B.; Salilew, W.M.; Ahsan, S.; M.","Lemma, Tamiru Alemu (55143260600); Hashmi, Muhammad Baqir (57214804479); Salilew, Waleligne Molla (57876513900); Ahsan, Shazaib (57196439498)",55143260600; 57214804479; 57876513900; 57196439498; 60346092500,Transient performance and control strategy of three shaft variable geometry industrial gas turbines,2026,Aerospace Science and Technology,172.0,,111718,,,0,10.1016/j.ast.2026.111718,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028326156&doi=10.1016%2Fj.ast.2026.111718&partnerID=40&md5=52e25fdd5e06d8771064eeeee7b5e793,"Industrial gas turbines are gaining substantial momentum in decentralized energy scenarios owing to wide range of benefits. In line with global measures to address climate change, industrial gas turbines are also integrated with intermittent renewable energy systems (solar and wind) as a hybrid power generation source. To respond to the fluctuating nature of renewables, gas turbines undergo frequent ramping, cycling and rapid load change operations. These transient regimes lead to several thermal, aerodynamic, and mechanical stresses that are very adverse for engine’s reliability, availability, overall health, and performance. To ensure resilient operation flexibility, a transient model of three shaft (GE LM 1600) variable geometry industrial gas turbine was developed using a commercially available tool GasTurb 12. To simulate load change phenomenon through acceleration and deceleration two kinds of fuel flow schedules were incorporated. Moreover, a variable inlet guide vane (VIGV) schedule and variable bleed schedule were also incorporated for low pressure compressor (LPC) to maintain stability and reliability. An optimization approach was employed to adapt the design point results with the OEM data. The design point and off design steady state results were compared with the already OEM performance data and showed good agreement. Additionally, the dynamic performance was also incorporated with a PID control scheme to assure a surge free compressor operation along with overall engine stability. It became evident from this research that, during transient operation, burner exit temperature depicts an overshoot while low pressure (LP) and high pressure (HP) spool speeds show a time delay that are deemed inappropriate as they can cause low cycle fatigue in hot parts such as combustor, HP turbine blades and casing. Hence, this transient model will help the future researchers in real time predictive condition monitoring and fault detection and diagnostics (FDD) models by developing advance reliability models. © 2026 The Author(s).",Fault detection and diagnostics; Industrial gas turbine; Transient modeling; Variable geometry; VIGV,Aerodynamics; Combustion; Delay control systems; Fault detection; Gas compressors; Gas turbines; Hybrid power; Industrial research; Reliability; Turbine components; Turbomachine blades; Design points; Fault detection and diagnostics; Industrial gas turbines; Inlet guide vane; Load change; Transient controls; Transient model; Transient performance; Variable geometry; Variable inlet guide vane; Condition monitoring,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105028326156,200,0.0
"Wang, N.; Zhang, G.; Yu, S.C.M.","Wang, Nannan (60016798300); Zhang, Guoqing (57192541290); Yu, Simon Ching Man (59652663400)",60016798300; 57192541290; 59652663400,Classification of unstart flow in a two-dimensional hypersonic inlet,2026,Aerospace Science and Technology,172.0,,111678,,,0,10.1016/j.ast.2026.111678,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028324971&doi=10.1016%2Fj.ast.2026.111678&partnerID=40&md5=f7d61d89ba628a2e1dff559284d9622d,"In this paper, attempts have been made to the classification of hard unstart flow in a two-dimensional hypersonic inlet based on the characteristics of mass flow capture ratio vs freestream Mach number and the corresponding flow field structures obtained by numerical simulations. It is found that hard unstart can be broadly classified into four categories: 1) cowl angle unstart (CAU), 2) upper separation unstart (USU), 3) throat compression unstart (TCU), and 4) throat expansion unstart (TEU). As the internal contraction ratio (ICR) increases, the mass flow capture ratio for CAU remains constant because the disturbance from throat is blocked by a fully supersonic region. USU can be regarded approximately as a special form of CAU with the influence from the separation bubble at upper wall. TEU is equivalent to introducing throat expansion wave effect to CAU by reducing ICR. TCU is dominated by throat high pressure with a large subsonic region at bottom wall as a medium for the pressure signal propagation. Different unstart categories exhibit distinct geometric sensitivities, with a particularly pronounced difference observed between CAU and TCU. Under large cowl angle, it is found that two novel flow regimes, namely the degenerated TCU and the quasi CAU, may arise due to system bifurcation. Finally, based on appropriate assumptions, empirical formulas for predicting the boundaries between different unstart categories are constructed. The prediction agrees well with the simulation results. © 2026 Elsevier Masson SAS.",Hypersonic inlet; Shock wave/boundary layer interaction; Unstart,Aerodynamics; Expansion; Hypersonic boundary layers; Hypersonic flow; Shock waves; Capture ratio; Classifieds; Flow field structure; Freestream mach number; Internal contraction ratio; Mass flow; Separation bubble; Shock-wave/boundary layer interactions; Two-dimensional; Unstart; Hypersonic inlets,Article,Final,,Scopus,2-s2.0-105028324971,400,0.0
"Samad, A.; Ullah, I.; Qasem, N.A.A.","Samad, Abdallah (57203432241); Ullah, Izhar (57209106399); Qasem, Naef A.A. (55936151600)",57203432241; 57209106399; 55936151600,An experimental study to characterize the effect of winglet-like geometries on the performance of UAV propellers,2026,Aerospace Science and Technology,172.0,,111750,,,0,10.1016/j.ast.2026.111750,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028318090&doi=10.1016%2Fj.ast.2026.111750&partnerID=40&md5=ea5a8382124b5a1c5a1addaac46295e7,"Blade tip geometries strongly influence the aerodynamic performance of small Unmanned Aerial Vehicle (UAV) propellers operating at low Reynolds numbers (Re), where tip-vortex-induced losses become significant. Inspired by the effectiveness of winglets on fixed-wing aircraft, this study experimentally investigates the aerodynamic impact of winglet-like tip geometries applied to UAV propellers. Seven configurations were tested, including a baseline propeller and propellers equipped with upward- and downward-facing winglets of varying heights (4–8 mm). Static thrust and torque measurements were conducted over a rotational speed range of 2000 to 5500 RPM, and performance was evaluated using nondimensional coefficients and figure of merit. In addition, 2D Particle Image Velocimetry (PIV) measurements were employed to characterize near-wake flow behavior. The results show that a 4 mm upward-facing winglet produced an approximately 3% increase in thrust relative to the baseline propeller while maintaining comparable efficiency. PIV measurements indicate that this configuration weakened the tip vortex, reduced near-wake vorticity, and decreased the turbulent kinetic energy. In contrast, larger or downward-facing winglets introduced additional flow losses and degraded performance. The observed performance trends highlight the inherently nonlinear aerodynamic response of low -Re propellers, where small geometric modifications such as winglet-inspired tip geometries lead to non-proportional changes in thrust, efficiency, and wake dynamics. © 2026 Elsevier Masson SAS.",Aerodynamics of UAV propeller; Particle Image Velocimetry; Passive aerodynamic strategies; Winglets,Aerodynamics; Aircraft propellers; Antennas; Facings; Fighter aircraft; Fixed wings; Geometry; Kinetic energy; Reynolds number; Torque measurement; Unmanned aerial vehicles (UAV); Velocimeters; Vortex flow; Wakes; Aerial vehicle; Aerodynamic of unmanned aerial vehicle propeller; Image velocimetry; Particle image velocimetry; Particle images; Passive aerodynamic strategy; Performance; Tip geometry; Tip vortex; Winglet; Kinetics,Article,Final,,Scopus,2-s2.0-105028318090,400,0.0
"Jia, X.; Dong, X.; Xiang, J.; Hong, Y.; Zhang, Y.; Lu, X.","Jia, Xingbiao (60018769100); Dong, Xu (57212727007); Xiang, Jiahui (60227646900); Hong, Yansha (60018599400); Zhang, Yanfeng (57214254845); Lu, Xingen (59939737800)",60018769100; 57212727007; 60227646900; 60018599400; 57214254845; 59939737800,Numerical study of transonic fan flutter and acoustic propagation characteristics at high-altitudes,2026,Aerospace Science and Technology,172.0,,111754,,,0,10.1016/j.ast.2026.111754,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028310765&doi=10.1016%2Fj.ast.2026.111754&partnerID=40&md5=cf1e9aa9a18b88e14c450c1ffd74e3ee,"High-performance engines require fans to operate stably in a wide airspace. The study investigates a transonic fan through numerical simulations, conducting a series of steady and unsteady calculations to reveal the effect of high-altitude conditions on flutter. The traveling wave method based on the energy method was employed to compute unsteady pressure and aerodynamic damping. Under high-altitude conditions, radial flow on the pressure side intensifies, while leading-edge/secondary separation and reattachment occur on the suction side. The relative variation in aerodynamic damping correlates with the relative change in total pressure and exhibits acoustic mode dependence. Under upstream cut-on and downstream cut-off mode, out-of-phase variations in unsteady pressure within the radial flow region on the pressure side enhance the negative aerodynamic damping. Under different acoustic modes, the combined effect of changes in unsteady pressure amplitude and phase in the leading-edge/secondary separation and reattachment regions on the suction side has a minor impact on aerodynamic damping variations. The study reveals that the sensitivity of unsteady pressure on the pressure side to acoustic modes is the key mechanism responsible for the acoustic mode dependence of flutter stability with varying altitudes. © 2026 Elsevier Masson SAS.",Aerodynamic; Flutter; High-altitude; Transonic fan,Acoustic fields; Acoustic wave propagation; Computational fluid dynamics; Damping; Radial flow; Transonic aerodynamics; Transonic flow; Acoustic propagation; Aerodynamic damping; Condition; Flutter; High-altitude; Pressure side; Propagation characteristics; Suction side; Transonic fans; Unsteady pressures; Flutter (aerodynamics),Article,Final,,Scopus,2-s2.0-105028310765,400,0.0
"Zhou, G.; T.; M.; Wu, Z.; Wang, L.; Zhang, Y.; Tan, H.","Zhou, Ge (59154861800); Wu, Zhenlong (59445972900); Wang, Lingfeng (57218276319); Zhang, Yue (36616741500); Tan, Huijun (7403011726)",59154861800; 60346033700; 60346033800; 59445972900; 57218276319; 36616741500; 7403011726,Parametric analysis of the propeller interference characteristics for a branched turboprop inlet,2026,Aerospace Science and Technology,172.0,,111733,,,0,10.1016/j.ast.2026.111733,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028301911&doi=10.1016%2Fj.ast.2026.111733&partnerID=40&md5=6664f12de9c4ceb6909a72440a83b9ee,"Turboprop aircraft constitute a critical component in both civil and military transport fields. Central to their operation, the propeller has a complex effect on engine inlet performance. In this paper, the propeller interference characteristics for a full-sized turboprop inlet were investigated by using the overset mesh technique and solving Unsteady Reynolds-Averaged Navier-Stokes (URANS) equations. The overset mesh approach handles the relative motion between the rotating propeller and the stationary inlet through overlapping mesh zones and data interpolation. The influences of freestream air speed, Aerodynamic Interface Plane (AIP, located between the inlet and the engine compressor, its aerodynamic performance determines the quality of air entering the engine) Mach number, angle of attack, and propeller speed are comprehensively discussed. The results showed that both the time-averaged total pressure recovery coefficient (σ¯) and the time-averaged total pressure distortion index (|DC60|‾) at the AIP surface of the inlet increased in the presence of the propeller compared to their absence. Furthermore, due to the presence of the propeller, the variation law for the aerodynamic performance of the inlet with the internal and external flow parameters differs from that observed in the absence of a propeller. As the freestream Mach number increases from 0.15 to 0.25, the σ¯ decreases by 0.16% and |DC60|‾ increases by 1.14 times without a propeller. Whereas when the propeller is present, the σ¯ decreases by 0.73% and |DC60|‾ decreases by 11.52%. Numerical data presented here provide methodological and data support for the development of high-performance branched turboprop engine inlets. © 2026 Elsevier Masson SAS.",Aerodynamic characteristic; Branched inlet; Numerical simulation; Propeller; Turboprop inlet,Aircraft propellers; Computational fluid dynamics; Fighter aircraft; Intake systems; Mach number; Mesh generation; Numerical methods; Turboprop engines; Aero-dynamic performance; Aerodynamic characteristics; Aerodynamic interface planes; Branched inlet; Engine inlets; Interference characteristics; Parametric analysis; Time-averaged; Turboprop aircraft; Turboprop inlet; Angle of attack,Article,Final,,Scopus,2-s2.0-105028301911,400,0.0
"Higginbotham, E.C.; Bettinger, R.A.; Webb, E.L.","Higginbotham, Erica C. (59230589800); Bettinger, Robert A. (36865935200); Webb, Emma L. (59186921900)",59230589800; 36865935200; 59186921900,Preliminary 3- and 6-Degree-of-Freedom investigation of aerobraking to support cislunar operations,2026,Aerospace Science and Technology,172.0,,111671,,,0,10.1016/j.ast.2026.111671,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028286820&doi=10.1016%2Fj.ast.2026.111671&partnerID=40&md5=7710473f2226d4abe3ecf2086fc0cea7,"The first aerobraking experiment occurred in 1991 as part of the Hiten satellite’s cislunar survey mission. Although making only two trans-atmospheric passes to reduce its apogee altitude, the success of Hiten’s experiment spurred the implementation of aerobraking by Magellan in 1993 and subsequent Mars missions starting in the late 1990s. This paper investigates the Hiten aerobraking experiment from the perspective of both 3- and 6-degree-of-freedom analysis with the inclusion J <inf>4</inf> gravitational and lunisolar perturbations in order to understand the complexity and sensitivity of aerobraking maneuvers in Earth’s atmosphere. Alternative satellites of varying size are also studied to determine their capability of maintaining the two Hiten aerobraking flight profiles. So as to examine a wide range of vehicle mass and drag reference area options, the Magellan and Hubble Space Telescope (HST) satellites are modeled and their aerobraking performance analyzed with varying target perigee altitudes for hypothetical cases of cislunar orbital operations in the Earth-Moon system. 3DOF and 6DOF analysis yields minimal deviation when reconstructing the historical Hiten aerobraking maneuvers with the Hiten and Magellan models. However, larger vehicles in the mass and size class as HST require a shallower depth of perigee transit in order to achieve target post-pass apogee altitudes due to greater drag and associated losses in orbital energy during aerobraking. Overall, aerobraking is posited as a viable cislunar maneuver option for adjusting semi-major axis if the satellite performing the maneuver is capable of surviving deceleration loads of approximately 9 g’s and countering aerodynamic torques in the range of 2–11 N · m depending on vehicle size and initial attitude orientation. © 2026 .",3DOF; 6DOF; Aerobraking; Hiten; Hubble space telescope; Magellan,Aerodynamics; Degrees of freedom (mechanics); Drag; Earth atmosphere; Gravitation; Moon; Satellites; Space telescopes; 3DOF; 6 degree of freedom; 6DOF; Degree of freedom analysis; Flight profiles; Hiten; Hubble space telescopes; Magellan; Mars missions; Vehicle drag; Aerobraking,Article,Final,,Scopus,2-s2.0-105028286820,400,0.0
"Liu, H.; Xiao, H.; Wang, C.; Zhao, R.; Yang, G.; Guo, H.; Liu, R.; Deng, Z.","Liu, Hualiang (59155580000); Xiao, Hong (57220866877); Wang, Chunlong (57200387463); Zhao, Runchao (57221869977); Yang, Guang (58597539400); Guo, Hongwei (59661645500); Liu, Rongqiang (7404552019); Deng, Zongquan (55536964400)",59155580000; 57220866877; 57200387463; 57221869977; 58597539400; 59661645500; 7404552019; 55536964400,Bio-inspired design and analysis of multidimensional morphing linkage for aircraft forebody,2026,Aerospace Science and Technology,172.0,,111622,,,0,10.1016/j.ast.2026.111622,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028276159&doi=10.1016%2Fj.ast.2026.111622&partnerID=40&md5=b00524ab0f2b7aec78c93d4865441bd8,"Cross-domain vehicles are critical roles for the next generation of aerospace transportation systems. Morphing forebody technologies offer clear advantages in enhancing performance across multiple flight domains, wide speed ranges, and maneuvering flight conditions. Therefore, the bio-inspired design of morphing forebody aircraft holds breakthrough significance. This paper presents a design method for bio-inspired multidimensional morphing ( BMM ) linkage, inspired by Cavernularia obesa . The BMM linkage is composed of the dual-slider six-bar morphing ( DSSBM ) linkages, a 12- SS transmission linkage, and a 6- UPS actuated linkage. The forward and inverse kinematic of the BMM linkage are systematically analyzed. A novel inverse kinematic method for the 12- SS linkage is proposed by incorporating P joints to restructure a 12- PSS linkage to solves its forward kinematics. This method can solve the locally unique pose for the moving platform by determining whether the Jacobian matrix of the linkage is full rank. A pose selection method for the moving platform is proposed to achieve various morphing types. The application of the linkage in an aircraft morphing forebody is explored, and suitable flight profiles are identified based on the aerodynamic benefits of various morphing types. A morphing forebody prototype is developed and tested. For four morphing types, the morphing error in the Y -direction remains below 0.5%. The maximum vertical morphing ratio exceeds 20%, validating both the accuracy of the theoretical analysis and the feasibility of achieving multidimensional morphing in the aircraft forebody. The BMM linkage design and analysis method proposed in this paper can achieve multidimensional concave or convex morphing of the aircraft forebody. This study provides theoretical support for the development of morphing forebody technologies in aerospace vehicles. © © 2026. Published by Elsevier Masson SAS.",Bio-inspired design; Inverse kinematic; Morphing forebody; Morphing linkage,Aerodynamics; Aerospace vehicles; Biomimetics; Design; Fighter aircraft; Intelligent systems; Inverse problems; Jacobian matrices; Bio-inspired designs; Cross-domain; Design and analysis; Morphing; Morphing forebody; Morphing linkage; Moving platform; Performance; Transportation system; Inverse kinematics,Article,Final,,Scopus,2-s2.0-105028276159,400,0.0
"Mecklem, S.A.; Curran, D.; Landsberg, W.O.; Veeraragavan, A.","Mecklem, Sarah A. (57205587007); Curran, Damian R. (57204548528); Landsberg, Will O. (57140548700); Veeraragavan, Ananthanarayanan (16644293400)",57205587007; 57204548528; 57140548700; 16644293400,Evaluation of a distributed fuelling scheme for a Mach 8 axisymmetric scramjet using large eddy simulation,2026,Aerospace Science and Technology,172.0,,111713,,,0,10.1016/j.ast.2026.111713,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028261468&doi=10.1016%2Fj.ast.2026.111713&partnerID=40&md5=359c6b8848ece2f62e48af43f85019e3,"This paper examines supersonic turbulent combustion in an ethylene-fuelled Mach 8 axisymmetric scramjet using US3D with wall-modelled large eddy simulation (LES). A tandem cavity scramjet combustor with distributed fuelling was compared against a single cavity design with one fuelling location, which also served as a validation study. LES successfully replicated experimentally observed combustion and extended beyond the experimental test window to reveal the potential of domain unstart. Each LES was initialised from Reynolds-Averaged Navier-Stokes (RANS) solutions using turbulent Schmidt numbers ( Sc<inf>t</inf> ) of either 0.3 or 0.75. While Sc<inf>t</inf>=0.30 produced a steady-state RANS solution matching experimental ‘steady’ pressure profiles, only the Sc<inf>t</inf>=0.75 LES captured the experimentally observed transient combustion behaviour resulting in domain unstart. These Sc<inf>t</inf> -varied initialisations were applied to the tandem cavity domains which found the Sc<inf>t</inf>=0.3 domain produced robust scram-mode combustion, while Sc<inf>t</inf>=0.75 yielded marginal ignition behaviour. Combustion regime and Damköhler number analyses indicated that an ignition aid could enable the validated Sc<inf>t</inf>=0.75 condition to evolve and replicate the Sc<inf>t</inf>=0.3 case. LES demonstrated that distributed fuelling in tandem cavities can achieve stable, scram-mode combustion with reduced susceptibility to thermal choking and scramjet unstart. Although the ignition-supported LES predicted lower combustion efficiency (40%) than RANS (65%), the design’s distributed heat release supports improved flow stability and operational resilience. © 2026 The Authors.",Cavity flame holder; Distributed fuelling; Fuel delivery; Large eddy simulation; Scramjet; Tandem cavity; Turbulent supersonic combustion,Combustors; Computational fluid dynamics; Ethylene; Fueling; Ignition; Ramjet engines; Supersonic aircraft; Turbulent flow; Cavity flame holders; Distributed fueling; Fuel delivery; Large-eddy simulations; Reynolds - Averaged Navier-Stokes; Scramjet; Supersonic combustion; Tandem cavity; Turbulent supersonic combustion; Unstart; Large eddy simulation,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-105028261468,200,1.0
